following_username,following_name,count
@infobae,infobae,20
@PatoBullrich,Patricia Bullrich,11
@edufeiok,Eduardo Feinmann,10
@fargosi,Alejandro Fargosi,10
@rlopezmurphy,Ricardo López Murphy,10
@FerIglesias,Fernando A. Iglesias,9
@JonatanViale,Jonatan Viale,9
@guadavazquez,Guadalupe Vázquez Oficial,9
@estebanbullrich,Esteban Bullrich,9
@LANACION,LA NACION,9
@RCachanosky,Roberto Cachanosky,9
@osvaldobazan,OB,8
@DianaMondino,Diana Mondino,8
@LuisGasulla,Luis Gasulla,8
@todonoticias,TN - Todo Noticias,8
@radiomitre,Radio Mitre,7
@juanitt2,juanitt,7
@indignadoxd,INDIGNADO,7
@florenciarietto,María Florencia Arietto,7
@HoracioCabak,CABAK,6
@ultrasantti,santi,6
@RiverPlate,River Plate,6
@Valenndiaz8,Valen Diaz,6
@atlanticsurff,Diego Álzaga Unzué,6
@C5N,C5N,6
@vivicanosaok,Viviana Canosa,6
@TyCSports,TyC Sports,6
@criticadeluko,luko,6
@matipascual01,Mati,6
@not_quiniela,Quiniela,5
@agencialavieja,Alfredo Casero,5
@nachodlg,ignacio,5
@catetoidex,Caτa,5
@Winston_Dunhill,Winston,5
@matiasgsoria,Matias,5
@martintetaz,Martin Tetaz,5
@atitaentuiter,Ataliva,5
@mariuvidal,María Eugenia Vidal,5
@Ampiacuna,Ampi Acuña,5
@jlespert,José Luis Espert,5
@Nikgaturro,Nik,5
@JMilei,Javier Milei,5
@Argentina,Selección Argentina,4
@DiarioOle,Diario Olé,4
@yanilatorre,Yanina Latorre,4
@WolffWaldo,Waldo Wolff,4
@TNTSportsAR,TNT Sports Argentina,4
@clarincom,Clarín,4
@gastonedul,Gastón Edul,4
@PiliDevoto,Pili,4
@lunoencapri,luno,4
@madorni,Manuel Adorni,4
@colgadadlalunaa,milu,4
@Vicckyparisi,VICTORIA,3
@paollamas_,Paola,3
@DavooXeneizeJRR,Davoo Xeneize,3
@julianviader,Julian Viader,3
@felirocaa,Roca,3
@LuciAstorga5,luci,3
@nazarena1604,Naza,3
@SC_ESPN,SportsCenter,3
@MentalHabito,MENTAL HABITO,3
@constant_hevia,Constantino Hevia,3
@morebarrioss5,More,3
@narvaezvalee,valentina,3
@AtaqueFutbolero,Ataque Futbolero,3
@CamiMartinez209,camî,3
@therealbuni,ElBuni,3
@BocaJrsOficial,Boca Juniors,3
@anasalvatierr17,Ana Salvatierra,3
@AniVargas7,𝓐𝓷𝓲,3
@claudiosavoia,Claudio Savoia,3
@Candeaceved0,cαɳɳ,2
@agustinbruno97,Agustin Bruno,2
@PilarRamirezmpr,Pilar Ramírez,2
@Pontifex,Pope Leo XIV,2
@fedeebongiorno,fefe,2
@AmericaTV,América TV,2
@GordoDan_,DAN,2
@AngeldebritoOk,A N G E L,2
@martuvvu,partu malazzini,2
@JavierBolzico,Javier Bolzico,2
@mascomplejo,Tecnócrata neoliberal,2
@mauroszeta,Vía Szeta,2
@FinanzasArgy,Finanzas Argy,2
@FedericoFuriase,Federico Furiase,2
@FatimaAdad,Fátima,2
@eltreceoficial,eltrece,2
@elejercitodelam,ElEjercitoDeLAM,2
@EpecOficial,EPEC Córdoba,2
@Intrusos,#Intrusos,2
@AgustinaYazlle,Agus Yazlle,2
@alvaro_astun,Alvaro,2
@nicocasteee,caste,2
@A24COM,A24.com,2
@inforeald,Entrenamientos,2
@MatiasGleser,Matias,2
@ischargro,Iván Schargrodsky,2
@Martinpdisalvo,Coscu,2
@jjnegri4,Juan Negri,2
@araagomz_,ara,2
@horaciorlarreta,Larreta,2
@joacomrtz,Joaquín,2
@MariRui15,Mari Ruiz,2
@hmruffo,Hernán Ruffo,2
@NetflixLAT,Netflix Latinoamérica,2
@AcostashowJuan,Acosta,2
@AdHocOK,Ad Hoc,2
@LongobardiM,Marcelo Longobardi,2
@kidlapicera,Kid Lapicera,2
@PabloAbrazo_,Pablo,2
@laubfal,Laura Ubfal,2
@JorgitoCor,Jorgito,2
@Moria_Casan,Moria Casán,2
@marioraulnegri,Mario Raúl Negri,2
@nicorrz,Nico Ruiz Ψ,2
@__limardo,Matías,2
@delfilarghi,Delfi Larghi,2
@ESPNArgentina,ESPN Argentina,2
@Sofibenitez_21,Sofía,2
@porquetendencia,¿Por qué es tendencia?,2
@DiPace4,Damián Di Pace,2
@Tottvila,Tomas,2
@clairechuss,Clara,2
@spitta1969,Sandra Pitta,2
@ditellamemes,dmemes,2
@chinowz,Chino,2
@ValentinaYazlle,ᴠᴀʟᴇɴᴛɪɴᴀ,2
@telefenoticias,Telefe Noticias,2
@VoxGundisca,Gundisalvus,2
@gh2022ok,Gran Hermano,1
@dalelobo1926,Alejandro Corbacho,1
@franmartintdf,Francisco Martin,1
@delfi_andrei,Delfina Andrei,1
@gintszilbalodis,Gints Zilbalodis,1
@franqotorres98,Franco,1
@gimenamarques,gimena marques,1
@damianpierri,Damián Pierri,1
@gh_trivia,GH ENCUESTAS,1
@fyuanjp,Fernando YUAN,1
@gerchobeder,Gercho Sports,1
@davieslenobleGe,Geraldine Davies Lenoble,1
@genteonline,GENTE,1
@geezerbutler,Geezer Butler,1
@dagosluk,Luka,1
@benitosdr10,Benito SDR,1
@gamesofluckk,gamesofluck,1
@gabuleta,Gabu,1
@gabimraida,Gabriel Mraida,1
@berrettasofi,sofi,1
@gbentasgal,Gabriel Ben-Tasgal,1
@gracielaocana,Graciela Ocaña,1
@barondelmerval,El Barón del Merval,1
@cnegobec,cnegobec,1
@atr_ahre,atr ahre,1
@connie_alfonso,Connie,1
@inakiigutierrez,Iñaki Gutiérrez,1
@ideeleradio,Ideeleradio,1
@constanzanale,Nalé,1
@icjula,ju,1
@ibepacheco,Ibéyise Pacheco,1
@contextocomar,Contexto Tucumán,1
@iamChinaTown,ChinaTown,1
@cristiannmillo,Cristian,1
@cnnbrk,CNN Breaking News,1
@iRockNac,Rock Nacional,1
@cronica,Crónica,1
@gladiadormerval,Gladiador Merval,1
@crunchyroll_es,Crunchyroll.es,1
@cmrondon,César Miguel Rondón,1
@herrerayflia,Oscar Herrera Ahuad,1
@heduardo50,Heduardo,1
@hectorlocutor,HÉCTOR ROSSI,1
@halconada,Hugo Alconada Mon,1
@hacemosarg,Hacemos Argentina,1
@gugamayer,Mariano Mayer,1
@culturaliteral1,Cultura Literal,1
@ayevargas666,Ayevargas666,1
@grok,Grok,1
@baigo28,MIGU€L,1
@franaldaya,Francisco Aldaya,1
@disneyplusla,Disney+ Latinoamérica,1
@dieworkwear,derek guy,1
@camiperochena,Camila Perochena,1
@dw_espanol,DW Español,1
@estoesblender,BLENDER,1
@canal26noticias,CANAL 26,1
@chomickirio,𝕮𝖍𝖔𝖒𝖎,1
@capturebizarre,Capture Bizarre®,1
@espnsutcliffe,John Sutcliffe,1
@econteo,Mateo,1
@emimernes_,emilia,1
@embajadorjpnarg,Embajador del Japón en la Argentina,1
@eltucumano_ok,el tucumano,1
@ecuainm_oficial,Ecuadorinmediato,1
@carlaangola,Carla Angola TV,1
@eduardomenoni,Eduardo Menoni,1
@elpaisuy,EL PAÍS,1
@eloraculoteama,El Oráculo,1
@elmundoes,EL MUNDO,1
@carod2015,Carlos Rodriguez,1
@eliLatorre_,Eli Latorre,1
@edugaresp,Eduardo Garzón,1
@el_poderdelmaso,El Peso Del Maso,1
@elduckpost,ELDUCK,1
@eldestapeweb,El Destape,1
@elcitizen,Leopoldo Castillo,1
@eldestape_radio,El Destape 1070,1
@celtyv,CELTYV,1
@canal10tucuman1,Canal 10 Tucumán,1
@dulce_tinita,Agus F.,1
@bichofeoonline,bichofeo,1
@euronewses,euronews español,1
@discrepo__,Meto Tedina,1
@florGamazo,flor Gamazo,1
@elcosodelapizza,cosito de la pizza,1
@caidodelcatre,@caidodelcatre,1
@fllorenteantoni,Antonio F Llorente,1
@cami_albornoz99,Cami Albornoz,1
@finitaser,𝐅𝐢𝐧𝐢,1
@camiblakie1,Cami Escudero,1
@fifaworldcup_es,Copa Mundial FIFA,1
@feviIIavicencio,Fernando Villavicencio,1
@fernechini,Amor al Fernet,1
@fernandezpm,Pablo M. Fernández,1
@camidigiuseppe,Cami,1
@ditefanol,Martin garrafal,1
@ciro_nah,Ciro Rodrigo,1
@fededomin,Federico Dominguez,1
@camidolabjian,Camila Dolabjian,1
@fededelia1,Federico D'Elia,1
@fedearccl,fede lopez,1
@camilapato1,Cami,1
@fabulawson,Fabu Lawson,1
@fabipa90,Fabipa,1
@cnni,CNN International,1
@dsmarias,Diego Marias,1
@ezeburgo,Ezequiel Burgo,1
@20m,20minutos.es,1
@ka_levin,Kevin Ary Levin,1
@infobaeamerica,Infobae América,1
@informativost5,Informativos Telecinco,1
@radio2rosario,Radio2 AM1230,1
@radio_pichincha,Radio Pichincha,1
@radioquitoec,Radio Quito,1
@raultimerman,Raúl Timerman,1
@rebecavives_,reb,1
@rgtizon,Rodrigo González Tizón,1
@robergalati,Rober Galati,1
@robertojirusta,R.J.,1
@rodrigodeloredo,Rodrigo de Loredo,1
@rodrilussich,Rodrigo Lussich,1
@romi_lunaaa,ʀᴏᴍɪ ᴗ̈ꕥ,1
@rovira_carlos,Carlos Rovira,1
@rtvenoticias,RTVE Noticias,1
@russellcrowe,Russell Crowe,1
@saanticaastro13,Santi Castro,1
@salvalescano,salvador,1
@santikorovsky,santiago korovsky,1
@primeraedicionw,Primera Edición,1
@porqueTTen_X,¿Por qué tendencia?,1
@porqueTTarg,Tendencias en Argentina,1
@pagina12,Página|12,1
@notimundoec,NotiMundo,1
@notsantti_2,santi,1
@offspring,The Offspring,1
@okdiario,okdiario.com,1
@osvaldooardiles,osvaldo ardiles,1
@pabloluciop,Pablo Lucio Paredes,1
@pabloquirno,Pablo Quirno,1
@pakitto_,paco roñoso,1
@polariscopi0,Polci,1
@panchoasturiano,Pancho,1
@parenlamanok,Paren la mano,1
@passalacquaok,Hugo Passalacqua,1
@patricano1970,jorge lp,1
@perezreverte,Arturo Pérez-Reverte,1
@phil_hellmuth,phil_hellmuth,1
@pilaradiario,Pilar a Diario,1
@santimacagno4,santi,1
@sashaferro,SASHA,1
@sergiopeinador,SERGIO RODRIGUEZ,1
@villalbaFacuuu,Facundo Villalba,1
@ursuvargues,Ursula Vargues,1
@usdtermo,termo,1
@valchumorilla,Valentina,1
@valseese,Valentina,1
@vaticannews_it,Vatican News,1
@venenoodiada,Veneno,1
@victoriacintas,𝑉𝑖𝑐,1
@visionariasec,Visionarias,1
@uliceee11,ulices,1
@vmenditto,Miss Ofertas by Vero,1
@wanditanara,Badbitch,1
@wwnicolas,Nicolás Wiñazki,1
@xmilianx_,Palito,1
@yanivega_,Yani Vega,1
@yukk66,Venezuela libre,1
@zerohedge,zerohedge,1
@unsamoficial,Universidad Nacional de San Martín,1
@tutefunado,Tute,1
@sexoalpublico,Sexo en la via publica,1
@telefe,telefe,1
@sextaNoticias,laSexta Noticias,1
@siam1500,Siam 1500,1
