profile,text,reactions,comments,shares,created_at,followers
Balanz Capital,"Nueva Licitación de Obligaciones Negociables 🌟

TGS Transportadora de Gas del Sur S.A. es la empresa líder en el transporte de gas natural en Argentina. A través de más de 9.000 km de gasoductos, conecta las principales cuencas productoras del país con los grandes centros de consumo, desempeñando un papel clave en el desarrollo energético nacional. Además, es referente en la producción y comercialización de líquidos derivados del gas natural —propano, butano, etano y gasolina natural— desde su complejo General Cerri, en Bahía Blanca.
La compañía complementa su operación con servicios de midstream y telecomunicaciones a través de Telcosur, y se distingue por su gestión eficiente, su compromiso con la seguridad, la innovación y la sustentabilidad. Con más de tres décadas de trayectoria, TGS es un actor estratégico para el crecimiento energético de la Argentina.

𝘉𝘈𝘓𝘈𝘕𝘡 𝘊𝘈𝘗𝘐𝘛𝘈𝘓 𝘝𝘈𝘓𝘖𝘙𝘌𝘚 𝘚.𝘈.𝘜. 𝘈𝘓𝘠𝘊 𝘕° 210 𝘺 𝘈𝘊𝘋𝘐 𝘕° 62 𝘢𝘯𝘵𝘦 𝘭𝘢 𝘊𝘕𝘝.",12,0,7,10/11/2025,73502
Balanz Capital,"Nueva Licitación de Obligaciones Negociables 🌟

Pluspetrol es un referente en la operación de yacimientos no convencionales, en el desarrollo de campos de gas de alta presión, y en la extracción de crudo en yacimientos maduros con recuperación secundaria y terciaria. Con la mira en el futuro, la compañía realiza importantes inversiones en el país, y se destaca su posicionamiento como segundo mayor tenedor de acres en Vaca Muerta, uno de los mayores reservorios no convencionales de hidrocarburos del planeta. Los principales yacimientos de hidrocarburos no convencionales son La Calera y Bajo del Choique. Además, cuenta con yacimientos convencionales en el área El Corcobo, ubicado en las provincias de La Pampa y Mendoza.

𝘉𝘈𝘓𝘈𝘕𝘡 𝘊𝘈𝘗𝘐𝘛𝘈𝘓 𝘝𝘈𝘓𝘖𝘙𝘌𝘚 𝘚.𝘈.𝘜. 𝘈𝘓𝘠𝘊 𝘕° 210 𝘺 𝘈𝘊𝘋𝘐 𝘕° 62 𝘢𝘯𝘵𝘦 𝘭𝘢 𝘊𝘕𝘝.",110,0,35,10/11/2025,73502
Balanz Capital,"Nueva Licitación de Obligaciones Negociables 🌟

Edenor S.A. es la mayor distribuidora de electricidad de la Argentina en términos de números de clientes y de electricidad vendida. Provee su servicio eléctrico a 3,34 millones de clientes, lo que conforman 9 millones de personas y 362 mil empresas, en un área de concesión de 4.637 km_2_. Además. Edenor asume con responsabilidad su rol en el desarrollo energético del país, impulsando la innovación y reafirmando su compromiso con una transición energética sostenible, segura y eficiente.

𝘉𝘈𝘓𝘈𝘕𝘡 𝘊𝘈𝘗𝘐𝘛𝘈𝘓 𝘝𝘈𝘓𝘖𝘙𝘌𝘚 𝘚.𝘈.𝘜. 𝘈𝘓𝘠𝘊 𝘕° 210 𝘺 𝘈𝘊𝘋𝘐 𝘕° 62 𝘢𝘯𝘵𝘦 𝘭𝘢 𝘊𝘕𝘝.",6,0,3,10/11/2025,73502
Balanz Capital,"Nueva licitación de Títulos de Deuda Garantizada 2025 🌟

𝘉𝘈𝘓𝘈𝘕𝘡 𝘊𝘈𝘗𝘐𝘛𝘈𝘓 𝘝𝘈𝘓𝘖𝘙𝘌𝘚 𝘚.𝘈.𝘜. 𝘈𝘓𝘠𝘊 𝘕° 210 𝘺 𝘈𝘊𝘋𝘐 𝘕° 62 𝘢𝘯𝘵𝘦 𝘭𝘢 𝘊𝘕𝘝.",9,0,3,10/11/2025,73502
Balanz Capital,"✨ El viernes participamos junto a los equipos de Wealth Management y Balanz University en la feria de beneficios de Accenture.
🎯 Compartimos un espacio de encuentro con juegos y trivias, acercando nuestras propuestas de inversión y formación financiera a los colaboradores de la compañía.
💡 Desde Balanz, creemos en generar experiencias que conecten, enseñen y acerquen el mundo de las inversiones de una forma simple y cercana.",5,0,0,10/11/2025,73502
Balanz Capital,"Nueva Licitación de Obligaciones Negociables 🌟

Banco Patagonia es uno de las principales bancos privados del sistema financiero argentino. Opera en todos los segmentos de clientes, ofreciendo productos y servicios para personas, empresas y el sector público. Forma parte del Grupo Banco do Brasil, el conglomerado financiero más importante de América Latina. Su liderazgo en Planes Sueldo y su enfoque en atención personalizada se complementan con una amplia gama de productos y servicios financieros.
La entidad impulsa la transformación digital mediante metodologías ágiles y busca generar valor sostenible a través de la innovación, la educación, la cultura y el emprendedurismo. Con un fuerte compromiso con la comunidad y el desarrollo de sus colaboradores, Banco Patagonia combina solvencia, transparencia y cercanía para acompañar el crecimiento de personas y organizaciones.

⚠️Importante: si realizaste compras de dólar oficial, estás en condiciones para licitar este papel.

𝘉𝘈𝘓𝘈𝘕𝘡 𝘊𝘈𝘗𝘐𝘛𝘈𝘓 𝘝𝘈𝘓𝘖𝘙𝘌𝘚 𝘚.𝘈.𝘜. 𝘈𝘓𝘠𝘊 𝘕° 210 𝘺 𝘈𝘊𝘋𝘐 𝘕° 62 𝘢𝘯𝘵𝘦 𝘭𝘢 𝘊𝘕𝘝.",45,0,13,08/11/2025,73502
Balanz Capital,"Nueva Licitación de Obligaciones Negociables 🌟

BACS Banco de Crédito y Securitización S.A. es una entidad con amplia trayectoria en el mercado de capitales y en la gestión fiduciaria. Su calificación se ve fortalecida por la sinergia con su accionista mayoritario, Banco Hipotecario S.A., que le brinda respaldo operativo y financiero. BACS se destaca por su experiencia en la administración de carteras y fideicomisos, un management profesional con estabilidad y conocimiento del negocio, y un sólido soporte tecnológico que permite una gestión eficiente y controlada.

𝘉𝘈𝘓𝘈𝘕𝘡 𝘊𝘈𝘗𝘐𝘛𝘈𝘓 𝘝𝘈𝘓𝘖𝘙𝘌𝘚 𝘚.𝘈.𝘜. 𝘈𝘓𝘠𝘊 𝘕° 210 𝘺 𝘈𝘊𝘋𝘐 𝘕° 62 𝘢𝘯𝘵𝘦 𝘭𝘢 𝘊𝘕𝘝.",23,0,6,08/11/2025,73502
Balanz Capital,"Nueva Licitación de Obligaciones Negociables 🌟

Pampa Energía S.A., una de las empresas integradas de energía más importantes de Argentina, lidera los segmentos de generación de energía eléctrica, exploración y producción de gas y petróleo, y petroquímica. Además, participa en el transporte de gas y energía a través de compañías vinculadas. Con operaciones diversificadas que incluyen centrales térmicas, hidroeléctricas y parques eólicos, la compañía co-controla Transener y Transportadora de Gas del Sur (TGS), claves en la distribución de electricidad y gas del país.⁣
⁣Pampa Energía también destaca como principal productor de poliestireno, estireno y caucho en Argentina. Sus inversiones recientes incluyen el desarrollo de shale oil en Rincón de Aranda, fortaleciendo su posición exportadora y mitigando riesgos normativos. Cotiza en la Bolsa de Buenos Aires (BCBA) y celebra 15 años en el New York Stock Exchange (NYSE).

𝘉𝘈𝘓𝘈𝘕𝘡 𝘊𝘈𝘗𝘐𝘛𝘈𝘓 𝘝𝘈𝘓𝘖𝘙𝘌𝘚 𝘚.𝘈.𝘜. 𝘈𝘓𝘠𝘊 𝘕° 210 𝘺 𝘈𝘊𝘋𝘐 𝘕° 62 𝘢𝘯𝘵𝘦 𝘭𝘢 𝘊𝘕𝘝.",41,2,2,07/11/2025,73502
Balanz Capital,"Nueva Licitación de Obligaciones Negociables 🌟

Grupo Mirgor S.A.C.I.F.I.A. es una empresa argentina con más de 40 años de trayectoria dedicada a la integración de tecnología, innovación y manufactura en diversos sectores. Con plantas industriales en Tierra del Fuego y Buenos Aires, participa en industrias como electrónica, autopartes, telefonía móvil, agro y retail. Su enfoque en la calidad, la sustentabilidad y la innovación la posiciona como un referente en el desarrollo tecnológico e industrial del país.

⚠️Importante: si realizaste compras de dólar oficial, estás en condiciones para licitar este papel.

𝘉𝘈𝘓𝘈𝘕𝘡 𝘊𝘈𝘗𝘐𝘛𝘈𝘓 𝘝𝘈𝘓𝘖𝘙𝘌𝘚 𝘚.𝘈.𝘜. 𝘈𝘓𝘠𝘊 𝘕° 210 𝘺 𝘈𝘊𝘋𝘐 𝘕° 62 𝘢𝘯𝘵𝘦 𝘭𝘢 𝘊𝘕𝘝.",22,0,11,06/11/2025,73502
Balanz Capital,"¿Por qué somos N°1 en inversiones? 🚀

Porque hace más de 20 años acompañamos a miles de personas y empresas a crecer.
Hoy somos más de 1.500 colaboradores en 5 países, administrando +USD 10.000 millones y más de 30 fondos pensados para cada perfil de inversor.

Ser N°1 es el resultado de un crecimiento sostenido. ✨",176,1,1,07/11/2025,73502
