profile,text,reactions,comments,shares,created_at,followers
Cocos,"#2 en Acciones 

Cocos se mantiene desde hace meses entre los principales puestos del rankingen término de volumen operado

Seguimos liderando el mercado 🥥 🚀.",18,0,3,04/11/2025,52786
Cocos,"Ya podés consultar el 
hashtag
#Ranking🏆 de Volumen de Terceros de Octubre 2025.

hashtag
#A3Mercados 
hashtag
#MercadodeCapitales 
hashtag
#FuturosyOpciones

|||||||||",56,0,8,04/11/2025,52786
Cocos,La Coconeta no para de crecer 🥥🚀,11,1,1,10/11/2025,52786
Cocos,"Educación financiera en el colegio Toratenu

Damian Palais asesor financiero de Cocos Gold participó de una charla con los alumnos del último año del colegio secundario donde conversó sobre economía y mercado post elecciones.

Lo que comenzó como una exposición terminó convirtiéndose en un intercambio dinámico, con preguntas, curiosidad y debate sobre coyuntura argentina.

Gracias al colegio por el espacio y a todos los que participaron.",16,0,1,03/11/2025,52786
Cocos,"📣 Sumate a la Coconeta 🥥

Estamos construyendo el mejor equipo de Argentina para seguir transformando el sistema financiero con soluciones innovadoras, haciéndolo más simple y accesible para todos.

Si te inspira nuestro trabajo, postulate desde los links:

🥥 Búsqueda abierta Senior Back End Developer 👉
🥥 Búsqueda abierta Senior FullStack Developer 👉
🥥 Búsqueda abierta Senior Cloud Security Engineer 👉
🥥 Búsqueda abierta Senior Product Manager 👉

📍 Ubicación: Florida, Buenos Aires, Argentina
Compartilo con quien creas que le puede interesar",145,7,7,03/11/2025,52786
Cocos,"🗳️ ESPECIAL ELECCIONES | EN VIVO

Este 26 de octubre desde las 11 AM, hacemos una cobertura especial con foco en el mercado y la mirada de grandes referentes.

🎙️ Invitados confirmados:
Ariel Sbdar, Carlos Maslatón, María Eugenia Duffard, Santiago Siri, Beltrán Briones, Florencia Donovan, y muchas más voces.

💬 Vamos a hablar de todo:
📊 Cómo impactan los resultados en el mercado
💵 Qué puede pasar con el dólar
📈 Cómo prepararte para el día después

🕗 En vivo por YouTube
👉 Sumate al análisis más completo de la jornada electoral.",37,0,21,27/10/2025,52786
Cocos,"Encuentro con el Movimiento Industrial

Las oficinas de Cocos fueron el punto de encuentro para una jornada de intercambio entre industriales argentinos y el sector financiero. El objetivo: acercar herramientas del mercado de capitales a las PyMEs para potenciar su acceso al financiamiento y crecimiento.

Agradecemos al Movimiento Industrial por la organización y alpor acompañarnos en este espacio.

Sumate a Cocos Biz 👉",83,3,3,27/10/2025,52786
Cocos,"🗳️ ESPECIAL ELECCIONES

Este domingo 26 de octubre, de 11 a 23 HS, viví junto a Cocos una cobertura única con la mirada de los principales referentes de la política, la economía y los mercados.

📈 Análisis, debate y contexto para entender cómo impactan las elecciones en tus finanzas y en el mercado.

Sumate al vivo 👉",50,1,1,27/10/2025,52786
Cocos,"🎓 Consultorio Express con Cocos: educación financiera hecha simple

hashtag
#SemanaDelInversor | Reunimos a nuestro equipo de especialistas y armamos 3 encuentros para responder en tiempo real tus preguntas sobre mercado.

✅ Ideal para:
• Principiantes en inversiones
• Personas que quieren entender el mundo financiero sin complicaciones
• Usuarios de Cocos que quieren sacar más provecho a sus herramientas

Activá recordatorio 👉",38,0,7,11/10/2025,52786
Cocos,"Estuvimos presentes en Corrientes y Chaco, acompañando la Semana del Empresario Joven Argentino organizada por Confederación Argentina de la Mediana Empresa (CAME) Joven.

(Gerente de Banca Empresas de Cocos) y(periodista especializada en economía y finanzas personales) brindaron la charla “Elecciones a la vista: coyuntura y estrategias de mercado de capitales para blindar la tesorería”.

Una oportunidad para dar a conocer las herramientas que ofrecemos desde Cocos sobre inversiones y financiamiento para potenciar a las PyMEs y seguir construyendo cercanía con el ecosistema emprendedor en cada región del país.

Sumate a Cocos Biz 👉",12,0,1,11/10/2025,52786
Cocos,"Cocos se mantiene desde hace meses entre los principales puestos del ranking BYMA Bolsas y Mercados Argentinos S.A. en término de volumen operado

En septiembre nos ubicamos:
#1 en Opciones
#2 en Acciones
#3 en Renta Fija

Más de 1 millón de usuarios y 2.300 clientes PyME e institucionales nos impulsan a seguir creciendo y liderando el mercado.",29,0,1,11/10/2025,52786
Cocos,"En Cocos celebramos la Semana Compliance, un momento clave para reforzar nuestro compromiso con la integridad, la seguridad de nuestros clientes y la transparencia en todos nuestros procesos.

Durante estos días, toda la compañía participó de la capacitación anual, adaptada a cada área, con el objetivo de fortalecer el conocimiento y la práctica de los valores que nos guían todos los días.

Estas instancias nos permiten seguir construyendo una organización sólida, responsable y orientada a generar confianza en todo lo que hacemos.",64,1,1,11/10/2025,52786
Cocos,"hashtag
#AbriendoCocos 🥥

Hoy recibimos en nuestras oficinas a estudiantes de Universidad de San Andrés

Pudieron conocer de cerca cómo trabajan algunos equipos -operaciones, IT, mesa y comercial- en pos de simplificar las finanzas y acercarlas a más personas.

Nos encanta abrir las puertas de la oficina como espacio de aprendizaje. ¡Gracias por la visita!",65,3,3,11/10/2025,52786
Cocos,"Ya está online el 
hashtag
#Ranking🏆 de Volumen de Terceros de Septiembre 2025.

hashtag
#A3Mercados 
hashtag
#MercadodeCapitales 
hashtag
#FuturosyOpciones

||||
|||||",47,0,6,11/10/2025,52786
Cocos,"En Cocos, los clientes no son solo clientes: son partners con los que co-creamos valor.

Así se vivió el evento que organizamos en nuestras oficinas junto a: un espacio para conectar, compartir y abrir nuevas oportunidades.

Durante el encuentro hablamos del contexto macro y estrategias que pueden adoptar las tesorerías de las empresas para sortear el contexto actual.

Si querés que tu empresa sea parte escribinos 👉",138,5,5,11/10/2025,52786
