profile,text,reactions,comments,shares,created_at,followers
Betterfly,"Felices de compartir que Eduardo della Maggiora estará en HLTH USA mañana—una de las conferencias de innovación en salud más importantes del mundo. Hablará sobre Betterfly 🇺🇸 y el futuro de la salud. Más por venir desde Vegas. 🚀

21 de octubre | Logos Stage | 11:05 AM PT | Las Vegas",3,0,0,25/10/2025,102713
Betterfly,"Una cultura saludable empieza por los hábitos del día a día 💚 

¡Sigue estas acciones simples para implementar hoy con tu equipo e impulsarlo a ser su mejor versión junto a Betterfly!",26,0,2,09/09/2025,102713
Betterfly,"¿Sabías que el mindset no es solo una cuestión personal? También es una herramienta colectiva que impacta en cómo enfrentamos los desafíos y colaboramos día a día 💚 .

📊 Según estudios de la OMS y la CDC, la resiliencia mental puede alargar la vida hasta 7 años, mientras que el estrés crónico está vinculado a enfermedades como infartos y demencia.

Invertir en el mindset de tu equipo no es solo una apuesta cultural, es una estrategia de salud organizacional.",3,0,0,09/09/2025,102713
Betterfly,"🧠 ¿Sabías que un descanso adecuado mejora la concentración, el estado de ánimo y la toma de decisiones? Pero no se trata solo de dormir más, sino de dormir mejor y con regularidad.

💡 Estas son 3 claves que puedes fomentar en tu organización:

-Cantidad: Dormir entre 7 y 9 horas por noche favorece la recuperación física y mental.
-Calidad: Alcanzar al menos un 85% de eficiencia del sueño garantiza un descanso reparador.
-Rutina: Horarios consistentes de sueño ayudan a regular el ritmo circadiano, esencial para el equilibrio energético diario.

📊 El impacto es real: menos fatiga, más foco y una mejor cultura con el bienestar al centro.",13,0,1,09/09/2025,102713
Betterfly,"hashtag
#Patrocinado | No te pierdas el Foro Desafíos de las empresas en México para fomentar la salud de sus colaboradores. Regístrate aquí: https://lnkd.in/eHfeApZR
Betterfly",6,0,3,09/09/2025,102713
Betterfly,"hashtag
#Patrocinado | No te pierdas el Foro Desafíos de las empresas en México para fomentar la salud de sus colaboradores. Regístrate aquí: https://lnkd.in/eHfeApZR
Betterfly",9,1,1,09/09/2025,102713
Betterfly,"💬 ¿Qué pasaría si no tratáramos la salud como un checklist, sino como un sistema vivo?

🌳 En Betterfly vemos la salud como un árbol en el que se combina la medicina tradicional con los hábitos saludables y la prevención.

Además estamos convencidos que las organizaciones tienen un rol fundamental al promover hábitos saludables y la prevención.

¿Cómo lo aplicas en tu equipo?  ¡Te leemos! 🙌",18,0,3,10/08/2025,102713
Betterfly,"💡Desde la digitalización de canales hasta la personalización de experiencias, hoy Diario Financiero destaca cómo las insurtech están transformando la industria aseguradora con modelos más ágiles, preventivos y centrados en las personas.

👏 Entre las más destacadas se encuentra Betterfly, reconocida por ofrecer una plataforma todo en uno que combina:

✅ Seguros colectivos y personales
✅ Prevención con análisis de biomarcadores
✅ Bienestar y monitoreo inteligente a través de IA",14,0,0,10/08/2025,102713
Betterfly,"Junto a la Fundación Vivir más Feliz y nuestra comunidad de partners, clientes y asistentes del evento A Better Way compartimos una jornada llena de sonrisas, juegos y propósito 💚 

En Betterfly creemos que cada acción cuenta, y cuando unimos nuestras manos y nuestro tiempo, multiplicamos el impacto positivo en las comunidades que más lo necesitan.

¡Gracias a todos quienes hicieron posible este día! Porque juntos, no solo celebramos a los niños, sino que también construimos un futuro más saludable, feliz y lleno de oportunidades.",38,2,2,09/09/2025,102713
Betterfly,"El 50% de los diagnósticos de enfermedades crónicas llegan tarde por falta de atención oportuna. Dar acceso a la salud a través de herramientas como la telemedicina puede impactar en:

📉 Disminuir hospitalizaciones hasta en un 35%.
⏱️ Evitar visitas innecesarias a urgencias en un 25%.
📲 Garantizar el seguimiento que hoy el 40% de las personas no recibe.

En Betterfly, creemos que la prevención empieza con acceso, y que una videollamada a tiempo puede marcar la diferencia entre una baja médica prolongada y un colaborador saludable.",13,0,1,11/06/2025,102713
