profile,text,reactions,comments,shares,created_at,followers
Indigo,"Lanzamos el marketplace de salud de Indigo. No es sólo una funcionalidad, es una puerta al cambio.

Empezamos con bienestar, pivoteamos, crecimos, erramos, volvimos. Pero hoy,empieza a dibujar un camino más claro hacia lo que siempre soñamos: un nuevo sistema de salud que se apalanca en que te cuides.

Un sistema que no espera a que te enfermes para cuidarte.

Nuestra oferta nace desde el complemento, desde lo que suele estar afuera de la cartilla. Desde ese lugar donde están los que hacen las cosas distintas.

Algunos ejemplos con los que tengo el orgullo de arrancar:
– kinesiología alternativa y enfoque holístico como no hay otro en Argentina.
– acompañamiento real a niños y familias atravesando desafíos complejos.
– innovación sorprendente en fertilidad a través de microbiota.
Lic. Mónica Rodríguez – el movimiento como medicina para prevenir dolores y desbalances.

Y lo que viene emociona todavía más: Terapia ortomolecular, asistencia al viajero y Chequeos preventivos de.

Con poco, estamos haciendo mucho.

¿Qué más te gustaría encontrar en Indigo? ¿Nos ayudás a construir una oferta más justa, cercana y humana? Te leemos.",75,10,10,09/11/2025,1769
Indigo,"En el avión, rumbo a una reunión importante, puse la peli Air —la historia detrás de la línea Air Jordan.

Me atrapó un recurso que usan una y otra vez en la película: mostrar los principios de Nike.

El primero es: ""Our business is change"", pero por alguna razón los subtitulos mostraron “Nuestro negocio es cambiar el mundo.” Y eso me dejó pensando.

Si querés jugar en otra liga, tenés que pensar distinto. Cambiar el chip. Apostar fuerte.

En Indigo no vinimos a mejorar el sistema de salud. Vinimos a reinventarlo.

No será fácil. Pero sí necesario.
(Y sí, fui con mis Air Jordan 😉)",99,7,7,09/11/2025,1769
Indigo,"💙 En Indigo creemos que la salud empieza mucho antes de una consulta médica. Empieza con cada respiración, con cada decisión de moverse, de soltar, de habitar el cuerpo con presencia.

Por eso, estamos orgullosos de acompañar EXHALA 2025, una experiencia única de movimiento y respiración consciente guiada por el Lic. Diego Rodríguez, en un entorno natural que invita al bienestar real.

Aplaudimos y celebramos iniciativas como esta, que acercan herramientas concretas para mejorar la calidad de vida de las personas, empoderándolas desde la prevención y el autocuidado.

Porque transformar la salud también es volver a lo simple. A respirar. A moverse. A estar presentes.

Completa tu formulario de inscripción 👇",17,3,3,13/05/2025,1769
Indigo,"✨ ¡Atención! Algo grande se viene en Indigo… ✨

Algo está a punto de suceder en Indigo que redefinirá lo que sabés sobre bienestar. No podemos revelarlo todo aún, pero preparate para una transformación que va a cambiar la manera en la que cuidás tu salud.

¡Mantenete atento, lo que viene promete sorprenderte! 🤓",49,17,17,13/05/2025,1769
Indigo,"¡Despegá tu Bienestar con Indigo!🌞🚀

En Indigo queremos que aproveches al máximo los beneficios de bienestar que tu empresa tiene para ofrecer.

Si aún no estás usando la app, ¡este es el momento! Mirá nuestro video y seguí los pasos para instalarla y comenzar a disfrutar de nuestra propuesta verano gratis.

Encontrá prestadores de bienestar individuales que te ayudarán a mejorar tus hábitos, y si tu empresa ya es cliente, accedé a una galería exclusiva pensada especialmente para vos.

¿Todavía no sos cliente? Comunicate con nosotros y ayudá a tu empresa a sacar el mayor provecho de sus beneficios. 😎

💙 ¡Bajate la app, seguí los pasos y empezá a cuidar tu bienestar hoy mismo!",16,1,1,13/04/2025,1769
Indigo,"🎉 ¡Hoy presentamos el nuevo modo de Indigo!

A nuestra propuesta de bienestar para empresas, ahora se suma algo más: un Marketplace de Salud general, con profesionales de distintas especialidades para que puedas gestionar tu bienestar de forma simple, clara y centralizada, todo desde la app.

📲 Sacá turnos, conectate con profesionales y hasta pagá tus sesiones, todo desde un mismo lugar. Hoy, cuidar tu salud es más fácil que nunca.

🔍 Buscá Indigo Balance en tu app store y descubrí la nueva experiencia de bienestar. Si sos profesional de bienestar y/o salud entra a nuestra web, apartado salud y comienza a crear tu cuenta.

Gracias a todos nuestros partners por ayudarnos a dar este gran paso 🙌",29,4,4,12/07/2025,1769
Indigo,"Feliz cumpleaños Rodrigo Avila 🎉 👏 

Hoy celebramos más que tu cumpleaños: celebramos tu energía, tu visión, tu manera de desafiar lo establecido y empujar siempre un paso más allá. Gracias por inspirarnos, por acompañar con paciencia, por levantar la vara y construir con propósito.

Que tengas un año lleno de momentos increíbles, aventuras nuevas y bienestar del bueno.

💙 ¡A seguir creciendo juntos!",41,13,0,12/06/2025,1769
Indigo,"💡 Antes de presentar nuestro nuevo modo en Indigo... 💙 

Queremos compartir una gran noticia: ahora somos parte del ecosistema de Google for Startups. 🚀

🦾 Contar con su apoyo y acompañamiento nos llena de orgullo y nos impulsa a seguir construyendo soluciones que combinan tecnología de punta, neurociencia y hábitos sostenibles para transformar el bienestar en las organizaciones.

⏰ Muy pronto vas a conocer una nueva funcionalidad que marca un antes y un después en Indigo. Si querés enterarte primero, estate atento en los próximos días. Lo único que te podemos adelantar por ahora… es que viene con el respaldo de los mejores.

💙 Felicitaciones al equipo de tecnología y producto.",38,7,7,12/06/2025,1769
Indigo,"💙 ¡Ya casi es hora de activar tu nuevo modo con Indigo! 💙 

Nos encontramos en la recta final para el lanzamiento de nuestro modo salud ampliada. Muy pronto, en app Indigo, encontrarás la opción ""Activar especialistas"" donde podrás disfrutar de un nuevo marketplace de profesionales de salud.

🎉 Renovación total del ecosistema Indigo. 🎉

Esta herramienta te permitirá gestionar turnos, acceder a servicios personalizados y experimentar un cuidado de tu salud, de forma sencilla, bajo demanda, otra opción para que la salud sea integral.

¡Preparate para activar tu salud con nosotros!

⏰ Faltan poco tiempos para que lo tengas disponible.",29,2,2,13/05/2025,1769
Indigo,"Nuestro CEO Yves (Ipa) Payen: ""Es muy lindo haber cambiado los ""no entiendo"" por ""ah claro! Es lo que el mercado pide"" 💜"" 

Cuenta un poco los cambios de perspectiva que nos fueron ocurriendo en estos años.",18,1,0,14/12/2024,1769
