profile,text,reactions,comments,shares,created_at,followers
Mercado Pago,"Sumamos nuevas funcionalidades a nuestro MCP Server. Ahora los desarrolladores pueden configurar y simular notificaciones, validar estándares de calidad de las integraciones, e identificar y corregir fácilmente fallas recurrentes.
Estas nuevas herramientas buscan simplificar el proceso de desarrollo y agilizar el trabajo de quienes integran nuestras soluciones, desde el entorno (IDE) que hayan elegido.

Más info 👉🏻",22,0,2,10/11/2025,0
Mercado Pago,"Más de 8 mil estudiantes de escuelas secundarias de todo el país se inscribieron en la segunda edición de las Olimpíadas de Educación Financiera, que organizamos junto a Junior Achievement Argentina, en colaboración con Lufindo | EdFinTech. A través de talleres y desafíos prácticos, los jóvenes fortalecieron sus conocimientos sobre finanzas personales, seguridad digital y uso responsable del dinero. De hecho, el 80% aseguró que lo aprendido tendrá un impacto positivo en su futuro.

La premiación, realizada en las oficinas de Mercado Libre, reunió a los equipos ganadores del Colegio Secundario N°9 de El Calafate, Santa Cruz, la Escuela Tecnológica Universitaria Werner von Siemens y la Escuela del Encuentro de Quilmes, ambas de la Provincia de Buenos Aires.",57,9,9,27/10/2025,0
Mercado Pago,"hashtag
#TeSoyFranco: Mercado Pago te conviene más.",337,3,3,11/10/2025,0
Mercado Pago,"Desde que los beneficiarios eligieron cobrar su asignación social a través de Mercado Pago accedieron de forma simple y segura a soluciones de ahorro, inversión, préstamos y herramientas que impulsan sus emprendimientos. 

✅ +860 mil beneficiarios generan rendimientos con su saldo. En promedio, incrementaron el valor de su asignación más de un 2% mensual, frente al 0% que ofrecían otras cuentas.
✅ El 98% de los fondos se mantienen dentro del ecosistema, reduciendo el uso de efectivo e impulsando la economía formal.
✅+300 mil beneficiarios usan la cuenta digital de Mercado Pago y herramientas de cobro digitales para generar ingresos.",96,0,10,11/10/2025,0
Mercado Pago,"Ahora también se puede pagar el colectivo acercando el QR de Mercado Pago al lector del validador en todas las líneas habilitadas. Una nueva forma de viajar con la que todos ganan, porque funciona desde cualquier celular, sin tarjetas ni conexión a internet.

Según un relevamiento, 8 de cada 10 usuarios encuestados que ya usaron esta modalidad en el subte asegura que abonar con QR es más simple y práctico, principalmente por su velocidad. Además, el 65% piensa adoptar esta modalidad de pago en la totalidad o mayoría de sus viajes.

El pago con código QR ya está disponible para todos los usuarios de Mercado Pago. Para más información sobre las líneas de colectivos que aceptan esta modalidad 👉🏻",333,9,9,11/09/2025,0
Mercado Pago,"🤝 Uma noite especial para celebrar parcerias que transformam o mercado.

Na última semana, tivemos o privilégio de reunir líderes de grandes marcas em um jantar exclusivo que vai muito além dos negócios. Foi uma oportunidade única de estreitar laços, compartilhar experiências e trocar boas práticas que impulsionam a inovação no setor de pagamentos.

Durante a noite, pudemos ouvir histórias inspiradoras, desafios superados e visões de futuro que nos motivam a continuar evoluindo nossas soluções. Foi uma oportunidade única de fortalecer laços, trocar boas práticas e construir, juntos, o futuro dos meios de pagamento e serviços financeiros na América Latina.

Momentos como este nos lembram que, por trás de cada transação, existe uma relação de confiança construída dia após dia. E é essa confiança que nos move a buscar sempre a excelência.

Obrigado a todos os parceiros que estiveram presentes, em especial a, diretor de Enterprise,do,e o diretor de e-commerce da Lenovo, que subiram no palco e compartilharam suas experiências e boas práticas.

Juntos, continuamos construindo o futuro dos pagamentos no Brasil! 🚀",217,20,20,12/08/2025,0
Mercado Pago,"Mercado Pago adquiere plataforma de inversiones y fortalece su presencia.

En un nuevo paso en su evolución para convertirse en uno de los mayores bancos digitales de Brasil, Mercado Pago anuncia la adquisición del 100% de Nikos DTVM, plataforma de inversiones del Grupo Nikos y socio comercial desde 2022.

La combinación de las operaciones reforzará la propuesta de valor de Mercado Pago, ofreciendo una experiencia de inversiones aún más completa y diversificada, con el objetivo de impulsar su base de usuarios y aumentar el volumen de activos bajo gestión, que en el segundo trimestre de este año alcanzó los US$ 13,8 mil millones en toda América Latina.

Antes de su finalización, la operación aún deberá ser aprobada por el Banco Central.

Leé la nota completa:",526,6,6,11/10/2025,0
Mercado Pago,"Nuevo episodio de Inside Mercado Libre: con Paula Arregui, VP Senior de Acquiring en Mercado Pago.

Hoy lanzamos el sexto episodio de nuestro podcast corporativo, Inside Mercado Libre, con Paula Arregui, la primera empleada de Mercado Pago y actual Vice Presidente Senior de Mercado Pago.

En esta conversación con nuestro Director de Relaciones con Inversores, Richard Cathcart, Paula repasa su recorrido de 25 años en la compañía y cómo Mercado Pago pasó de ser una idea a convertirse en el adquirente fintech más grande de América Latina, procesando USD 142 mil millones en volumen total de pagos solo en 2024.

También comparte cómo la sinergia con el ecosistema de Mercado Libre potencia nuestra propuesta de valor, el impacto de Mercado Pago en la digitalización del dinero en la región y analiza la gran oportunidad que representa México, donde el efectivo aún representa el 38% del dinero transaccionado (TPV).

Escuchá el episodio completo en Spotify:",81,10,10,14/05/2025,0
Mercado Pago,"🇦🇷 Presentamos la tarjeta de crédito física y virtual Mastercard de Mercado Pago. Se ofrecerá de forma paulatina a los usuarios a través de la app en las próximas semanas. 

Es simple, gratuita, sin costos ocultos y con más beneficios para sus usuarios.

Seguimos impulsando la inclusión financiera y el acceso a financiamiento en Argentina.",1655,27,27,11/09/2025,0
Mercado Pago,"Desde hoy, los usuarios de Mercado Pago pueden comprar dólar oficial con acreditación inmediata e ingresar dólares desde otras cuentas para generar rendimientos diarios de forma simple.

Los dólares invertidos pueden usarse en cualquier momento. Actualmente, el Fondo Común de Inversión* en dólares, administrado pory custodiado por, rinde 2,4% anual (promedio de los últimos 30 días).

Según un relevamiento propio, la mitad de los usuarios encuestados aseguró que antes de usar Mercado Pago no los invertía o los guardaba en efectivo. Con esta solución buscamos impulsar que sus ahorros en dólares crezcan para que más personas ganen.
Las nuevas funcionalidades se habilitarán de forma progresiva para todos los usuarios.

*La operación de cambio es realizada por Banco Industrial S.A. El Fondo Común de Inversión IAM Retorno Dólares es administrado por Industrial Asset Management S.A.S.G.F.C.I. y custodiado por Banco Industrial S.A.",572,22,22,12/08/2025,0
