profile,text,reactions,comments,shares,created_at,followers
Naranja X,"💚 Día Mundial contra el Cambio Climático: así compensamos el 100% de nuestra huella de carbono

Por quinto año consecutivo, mitigamos nuestro impacto apoyando proyectos que cuidan el planeta 🌎. Este año, además de trabajar junto a(energía eólica) y(ganadería regenerativa), nos sumamos al
🌱.

Vinalito es una iniciativa deque está regenerando uno de los ecosistemas más amenazados del planeta: el Gran Chaco Argentino.

Un modelo de desarrollo regenerativo que conecta la acción climática con la creación de oportunidades y el desarrollo inclusivo de comunidades rurales. 🌳 En otras palabras: un triple impacto real.

En NX creemos que los desafíos (im)posibles existen para ser alcanzados. Y este proyecto, sin dudas, es uno de ellos 💚.

Si querés conocer más, hacé click acá:",53,5,5,27/10/2025,821468
Naranja X,"𝗜𝗻𝗻𝗼𝘃𝗮𝗿 𝗽𝗮𝗿𝗮 𝗰𝘂𝗶𝗱𝗮𝗿 🧡

Fuimos reconocidos por Visa y LA NACION con el Premio a la Innovación en la categoría “Medios de Pago y Ciberseguridad” por ArgoX, nuestro escudo digital que protege a millones de personas detectando y neutralizando amenazas en tiempo real 🤖.

🛡 Con tecnología basada en Inteligencia Artificial y Machine Learning, ArgoX identifica perfiles falsos, sitios web fraudulentos y anuncios engañosos antes de que puedan afectar a los más de 9 millones de clientes que confían en Naranja X.

Porque en un mundo donde cada tres segundos alguien recibe un mensaje falso, 𝗲𝗹𝗲𝗴𝗶𝗺𝗼𝘀 𝗿𝗲𝗮𝗰𝗰𝗶𝗼𝗻𝗮𝗿, 𝗲𝗹𝗲𝗴𝗶𝗺𝗼𝘀 𝗮𝗻𝘁𝗶𝗰𝗶𝗽𝗮𝗿𝗻𝗼𝘀.

Este reconocimiento celebra una forma de innovar que se basa en la escucha permanente a las necesidades de las personas. Y es el reflejo del trabajo de cada NXer que, con la capacidad de conectar, de corazón, sigue construyendo un futuro más seguro para quienes manejan su plata desde nuestra app.

¡Hoy sentimos full
y ya estamos listos para seguir creando el futuro 🚀!",165,4,4,27/10/2025,821468
Naranja X,"hashtag
#WoodstechNX: un festival bien tech

El 
hashtag
#TechTeam 😎 se juntó para vivir un día con charlitas express sobre proyectos, resultados y aprendizajes dentro del universo NX. ¿El objetivo? Compartir conocimiento, inspiración y conexión entre todas las áreas de IT.

Cada equipo abrió las puertas de sus proyectos para mostrar el detrás de escena de los desafíos (im)posibles que enfrenta día a día. Todos con un mismo norte ➡️ crear soluciones financieras que mejoran la vida de +9 millones de personas.

Gracias a cada NXer que lo hizo posible ✨🧡.
llegó para quedarse.",53,5,5,27/10/2025,821468
Naranja X,"𝗖𝗶𝗯𝗲𝗿𝘀𝗲𝗴𝘂𝗿𝗶𝗱𝗮𝗱 𝗮𝗹 𝗲𝘀𝘁𝗶𝗹𝗼 𝗡𝗫 🔒🤩 
hashtag
#𝘾𝙮𝙗𝙚𝙧𝙓𝘼𝙬𝙖𝙧𝙚𝙣𝙚𝙨𝙨𝙏𝙤𝙪𝙧
Octubre es el Mes de la Ciberseguridad y en NX cuidar nuestra info, y sobre todo la de nuestros clientes, no es negociable.

Por eso nació el CyberX Awareness Tour: una gira que nos acerca a nuestros equipos, clientes y comercios amigos para charlar, aprender y compartir sobre seguridad digital.

Cada visita es una chance de sumar conciencia y herramientas para cuidarnos mejor 🔒. Y no se queda ahí: ponemos a disposición de cada cliente material educativo pensado para su día a día, desde folletería en sucursales hasta notas exclusivas en nuestro blog ""𝗣𝗹𝗮𝘁𝗶𝘁𝗮 𝘀𝗲𝗴𝘂𝗿𝗮"".

Seguimos ampliando el alcance y el valor de esta iniciativa, año a año.  Y cuanto más crece el tour, más impacto generamos 🚀.

👉 ¡Deslizá y conocé los detalles!",76,0,7,11/10/2025,821468
Naranja X,"¿Ya tenés planes para mañana? 😏

Porque el Team NX desembarca en el CCKonex (y también estaremos vía streaming) para decir presente en. Vamos a hablar sobre cómo damos acceso a soluciones financieras que mejoran el día a día de +9 millones de clientes.

Conocé el detrás de escena de nuestros desafíos en Data, AI, Prod Dev, Infra y más… los cuales impulsan nuestra evolución constante 🚀.

👉 Deslizá y conocé más sobre cada una de las charlas.,,y.

Y si querés más
, pasá por nuestro stand virtual. Hacé click acá:

Nos vemos mañana 🧡.",66,1,1,11/10/2025,821468
Naranja X,"La previa de NX en 
hashtag
#Nerdearla2025 arranca hoy 🔥

Mañana (23/9) empieza Nerdearla y ya estamos ready para sorprender con charlas y un workshop recontra wow. ¿Querés spoilers? Deslizá y chusmeá lo que se viene 👀.

Pero tranqui que no hace falta que esperes a mañana para vivir
. 👉 ¡Ya podés pasarte por nuestro stand virtual!

Vas a encontrar: contenido exclusivo, búsquedas abiertas y la posibilidad de agendar entrevistas con nuestro equipo de Talent.

¡Entrá ahora!

Nos vemos en
🤗.",76,0,7,11/10/2025,821468
Naranja X,"Empieza la cuenta regresiva 
hashtag
#Nerdearla2025 ⏳🚀

Del 23 al 27 de septiembre, llega la 12° edición de Nerdearla 💻. Y claro, NX dice presente:
🧡 Speakers NXers con data muy copada sobre Dev, Infra, Cyber, Data & AI y más. 👉,,,,,,y.
🔎 Entrevistas en vivo (presenciales y virtuales) con nuestro team de Talent.
💥 Un stand virtual con mucha info y sorpresas.

Nos encanta participar de estos espacios que nos permiten compartir con la comunidad tech, contar algunos de los desafíos (im)posibles que vivimos en NX y cómo vamos a encararlos como
.

Todo para seguir creando soluciones que mejoran la vida financiera de +9 millones de clientes 🚀.

📍 Presencial en el CCKonex + streaming para todo el mundo.
🆓 100% GRATIS.
¿Nos vemos ahí? Anotate haciendo click acá:y chusmeá el día y horario de cada charla en la agenda del evento.",113,5,5,11/10/2025,821468
Naranja X,"Un año más de 
hashtag
#NXenModoNerd… 😏💥

El team NX estuvo presente en Nerdearla 2025 para conectar con la comunidad tech, compartir experiencias y seguir aprendiendo en conjunto 🚀.

¡Gracias a nuestros speakers de lujo que la rompieron!,,,,,,y.

En nuestras charlas y workshop hablamos de nuestros desafíos (im)posibles y cómo los transformamos en soluciones que mejoran el día a día de +9M de clientes 💜🧡.

¿Estuviste? Contanos qué te pareció. ⬇️",147,11,11,11/10/2025,821468
Naranja X,"Veo, veo… NXers que volvieron 👀

Este año, el 10% de nuestros ingresos vinieron de NXers que eligieron volver. ¿Los motivos🤔? En NX siempre hay algo nuevo por resolver, desafíos que te hacen crecer y la chance de impactar en millones de personas 💜🧡.

Este dato es una prueba más de que lo que se vive acá es único. Y como dicen por ahí… once NXer, always NXer 😉.",170,22,22,11/09/2025,821468
Naranja X,"Un referente del mundo tech, en nuestra casa 🧡

Abrimos las puertas de Casa NX Córdoba para recibir a Werner Vogels, CTO & VP en🙌.

💬 Charlamos sobre el poder transformador de la tecnología, y coincidimos en algo clave: su valor real se mide por el impacto que genera en la vida de las personas.

En Naranja X lo tenemos claro, desarrollamos soluciones tecnológica financiera para dar acceso y facilitar el uso cotidiano de su dinero.

Reviví acá un poquito de este encuentro en nuestra Casa 👇",140,3,3,11/10/2025,821468
