profile,text,reactions,comments,shares,created_at,followers
Nu,"Ainda dá tempo de participar do Esquenta Product Camp no escritório do Nubank!

Amanhã, receberemos, em nosso escritório de Pinheiros, o Esquenta Product Camp Brasil, o pré-evento do maior encontro de produto digital da América Latina, que acontece em dezembro.

Durante a noite, nossa Diretora de Produtocontará como desenvolvemos o NuCel, um produto pautado em tecnologia e que está transformando a experiência do cliente no setor de telefonia móvel. Também teremos um painel com convidados do mercado que irão compartilhar como as novas tecnologias, a ascensão da IA e as mudanças nas expectativas de negócios estão redefinindo o papel dos times e líderes de produto.

O evento será híbrido, com vagas limitadas para quem quiser participar presencialmente e também transmissão online:

- Presencial, às 17h30:
- Online, às 18h30:

O Nu nasceu da inquietude de quem constrói produtos que fazem a diferença. Acolher a comunidade de produto em nosso espaço é uma maneira de seguir aprendendo, trocar experiências e, juntos, construir o futuro da área. Contamos com a sua presença nesta noite especial.",430,19,19,03/11/2025,5820091
Nu,"Comunidade do ecossistema cloud native e open source reunida em nosso escritório!

No último sábado, o Nubank teve a honra de sediar ono escritório na Vila Leopoldina. O evento, organizado pela comunidade Cloud Native Computing Foundation (CNCF), reuniu mais de 300 profissionais do ecossistema cloud native e open source para um dia inteiro de palestras, discussões e troca de experiências sobre tecnologia e inovação.

Durante o evento, as pessoas participantes puderam conhecer de perto nossa abordagem tecnológica, conversar sobre soluções escaláveis e resilientes, e entender como nossa cultura de inovação e colaboração orienta o trabalho do dia a dia.

Para o Nu, participar e apoiar eventos como este é uma forma de reforçar nosso compromisso em estar próximos de comunidades técnicas, conectar-se com profissionais que compartilham nossa missão de gerar impacto em larga escala e atrair talentos que querem transformar a maneira como as pessoas interagem com serviços financeiros.",658,5,5,03/11/2025,5820091
Nu,"Inscrições abertas para a 100ª edição do nosso meetup de Data Science & Machine Learning!

O nosso meetup começou em 2015, quando pessoas curiosas se juntaram para aprender Python e testar modelos de machine learning na prática. Por isso, para nós, é um grande marco celebrarmos toda a construção e crescimento que temos feito com a comunidade.

E é com muita alegria que anunciamos que a 100ª edição do Meetup de Data Science & Machine Learning, em parceria com, acontece no dia 11 de novembro, no escritório do Nubank em Pinheiros.

Vai ser um encontro para celebrar o que construímos juntos, com conversas, aprendizados e pessoas que impulsionam o presente e o futuro dos dados.

Os ingressos são limitados e o evento será 100% presencial (sem transmissão online).

Garanta sua inscrição e marque aquela pessoa que não pode ficar de fora! 👇",207,20,20,27/10/2025,5820091
Nu,"Como o Nu é capaz de seguir aumentando a qualidade de seus produtos enquanto mantém a consistência para 122 milhões de clientes em três países diferentes e ainda planeja sua expansão futura? 

Laura Marino, GM Global da Conta, responde a essa pergunta no novo episódio do Nu Videocast. Ela detalha o processo de desenvolvimento de produtos da companhia, sempre pensados sobre uma base tecnológica global e com adaptações locais para servir exatamente às necessidades dos clientes de cada país.

Essa eficiência nos ajuda a oferecer soluções que fazem a diferença para milhões de clientes, reforçando nosso compromisso de simplificar a vida financeira.

Na edição de outubro da NuHeadlines, você lê também sobre a licença de banco nacional que o Nu solicitou nos Estados Unidos, reconhecimentos globais como a principal marca financeira e como a quarta companhia de crescimento mais rápido do mundo.
Assista ao Nu Videocast no YouTube:e no Spotify:",483,20,20,20/10/2025,5820091
Nu,"O Nubank é a Marca Mais Valiosa do Brasil!

O ranking, elaborado pela TM20 Branding em parceria com a Brazil Panels e a, e publicado pelo, reforça nossa visão de transformar serviços financeiros com simplicidade, foco no cliente e crescimento sustentável.

A metodologia do ranking segue os princípios da norma internacional ISO 10668, que define as diretrizes para avaliação de marcas. As análises financeiras consideraram indicadores como conhecimento, preferência, confiança e rejeição.

Com pouco mais de 10 anos no mercado, o Nu tem apresentado resultados financeiros consistentes e uma força de marca focada em inovação, simplicidade e praticidade. Este prêmio valida o impacto da companhia no mercado brasileiro, ampliando a confiança de stakeholders e impulsionando nossa estratégia de crescimento.",280,23,23,05/11/2025,5820091
Nu,"No novo episódio do Nu Videocast, Emilia Lopez, GM Global de Cartões de Crédito e Collections, e Jessica Paul, GM Global de Empréstimos, falam sobre o crescimento responsável e diversificado da concessão de crédito no Nu.

De um único cartão de crédito roxo em 2014 a um portfólio amplo e multi-país, elas explicam como a companhia está ampliando a força de seus modelos de concessão proprietários, baseados em dados e tecnologia avançada desde o dia um, para ampliar suas soluções e escalar globalmente.

Confira o episódio completo:
YouTube:
Spotify:",78,5,5,04/11/2025,5820091
Nu,"Nos dias 6 e 7 de outubro, realizamos a segunda edição da Clojure South, a maior conferência de Clojure da América do Sul, que reuniu mais de 200 pessoas no nosso escritório Spark, em São Paulo, incluindo participantes e palestrantes do Peru, da Argentina, da Espanha, dos Estados Unidos e da África do Sul.

Foram dois dias intensos de troca e aprendizado: o primeiro dedicado a workshops práticos, e o segundo a palestras que aprofundaram Clojure e Datomic, reunindo conhecimento teórico e prático para todas as pessoas participantes.

Agradecemos a todas as pessoas que fizeram parte dessa edição: participantes, palestrantes, patrocinadores e organizadores. Foi incrível construir esse espaço de aprendizado juntos.

Afinal, no Nu, acreditamos que compartilhar conhecimento e aprender com a comunidade é essencial para construir tecnologia de impacto, e para continuar atraindo pessoas que querem resolver problemas reais com propósito!",622,1,1,20/10/2025,5820091
Nu,"Nubank é eleito a melhor empresa para se trabalhar no setor financeiro no Brasil em 2025 pelo Glassdoor. 💜

Diferente de outros rankings, o Glassdoor reflete a voz dos nossos Nubankers, com avaliações voluntárias e anônimas sobre cultura, liderança e dia a dia.

Aqui, trabalhamos incansavelmente para que nossos clientes nos amem fanaticamente. E isso começa com um lugar onde todos podem criar, aprender e deixar sua marca: um ambiente onde autonomia, colaboração e propósito se traduzem em pessoas fazendo o melhor trabalho das suas vidas

Compartilhamos no blog mais detalhes sobre o prêmio e histórias de Nubankers que tangibilizam o que é fazer o extraordinário por aqui:",1344,31,31,27/10/2025,5820091
Nu,"Nubank de portas abertas para mais um evento de tecnologia!

No dia 25 de outubro, vamos receber o Cloud Native Day em nosso escritório em São Paulo, na Vila Leopoldina. O evento é organizado pela comunidade local dae reúne pessoas entusiastas e contribuidoras de projetos open source e cloud native.

Estar próximo de comunidades técnicas faz parte da nossa cultura. Acreditamos que excelência operacional em engenharia nasce da troca constante de conhecimento, da curiosidade em aprender com outras experiências e da busca contínua por melhoria.

Trazer o Cloud Native Day para o Nu é uma forma de fortalecer essa cultura de aprendizado compartilhado, celebrando práticas e tecnologias que impulsionam inovação e confiabilidade em larga escala.

Estamos animados em abrir nossas portas para a comunidade! Conheça mais sobre o evento:",287,5,5,20/10/2025,5820091
Nu,"No novo episódio do Nu Videocast, Ethan Eismann, Chief Design Officer do Nubank, conta como pretende elevar o Nubank à melhor experiência financeira digital do mundo, e como isso pode impactar na relação das pessoas com seu dinheiro. Ele também explica a importância do cargo de CDO, reforçando como o design vai além da estética e é parte integrante de cada etapa do desenvolvimento de produtos, desde a compreensão das necessidades dos clientes até a compreensão profunda do ambiente regulatório.

Leia a newsletter NuHeadlines completa para saber também sobre o lançamento do cartão de crédito para clientes de 16 e 17 anos, os reconhecimentos do Nu pela Finovate e TIME, os novos benefícios Ultravioleta, o lançamento de três ETFs, e mais.",457,12,12,11/10/2025,5820091
Nu,"Nas últimas semanas, compartilhamos os bastidores de quem faz o extraordinário acontecer no Nubank.

Histórias reais que mostram como cada área contribui para transformar desafios em soluções que simplificam a vida de milhões de pessoas.

Revelamos o que existe entre uma ideia e a entrega final. Entre a tela do app e os times que garantem que tudo funcione.

Quer viver isso com a gente? A próxima cadeira pode ser a sua!

Conheça nossas vagas e faça seu cadastro:",434,10,10,11/09/2025,5820091
Nu,"Junte-se a nós para o nosso próximo Meetup de Engenharia de Software do Nubank sobre Programação Funcional na Atualidade!

Essa edição será especial: além de muito conteúdo, também servirá como um aquecimento para a Clojure South, conferência que acontece nos dias 6 e 7 de outubro.

Nesta edição, vamos receber três nomes de peso da tecnologia:(Nubank),(Oracle) e(Rocketseat). Eles vão ajudar a desmistificar a programação funcional, que por muito tempo foi vista como um tema de nicho, mas hoje está cada vez mais presente em diferentes linguagens e inovações.

Exploraremos conceitos básicos e mostraremos como esse paradigma pode ampliar horizontes, conectar comunidades e abrir novas possibilidades. É uma conversa aberta tanto para quem já conhece o tema quanto para quem está começando a descobrir seu impacto.

📅 25 de setembro (quinta-feira), às 18h30 (Presencial) ou 19h (Online)
📍Híbrido e gratuito

O evento será híbrido, com vagas presenciais limitadas e vagas online. Para participar, inscreva-se pelo link:

Marque nos comentários aquela pessoa que não pode perder essa conversa! 👇",308,19,19,11/09/2025,5820091
Nu,"Celebrando 10 anos do nosso meetup de Data Science & Machine Learning!

Há 10 anos, o Nubank iniciou uma jornada de compartilhamento de conhecimento com a comunidade de profissionais de tecnologia por meio do Meetup de Data Science & Machine Learning.

Hoje chegamos a um marco histórico: a 100ª edição desse encontro que conecta pessoas apaixonadas por resolver problemas reais com dados e tecnologia.

Para tornar esse momento ainda mais especial, teremos a participação donesta celebração, fortalecendo juntos a comunidade de Dados & IA no Brasil.

Prepare-se para uma edição comemorativa com muito conteúdo e troca de experiências. Em breve, contaremos todos os detalhes.",376,12,12,20/10/2025,5820091
Nu,"Agora você tem mais tempo para encaminhar sua proposta de conteúdo para a Clojure South 2025!

Queremos que mais pessoas tenham a oportunidade de compartilhar suas ideias com a comunidade, e por isso estendemos o prazo: receberemos propostas de palestras e lightning talks até 31 de Agosto.

Os conteúdos podem abordar Clojure, ClojureScript, Datomic ou outros temas relevantes para a comunidade, como arquitetura de software, cases reais e ferramentas. Também valorizamos apresentações introdutórias, voltadas para quem está começando.

A conferência contará com tradução simultânea e intérpretes de Libras, o que permite submissões em português, espanhol ou inglês.

Envie sua proposta até 31 de Agosto:",129,12,12,11/09/2025,5820091
Nu,"Os resultados do segundo trimestre de 2025 mostram mais uma vez como o foco do Nubank nos clientes dá resultados. Fechamos junho com quase 123 milhões de clientes, reforçando nossa posição como terceira maior instituição financeira do Brasil. Não só atraímos mais de 4 milhões de novas pessoas e empresas para a nossa base durante o trimestre, mas quem já estava conosco segue engajado, usando ativamente nossos produtos e serviços.

Dentro de casa, mantivemos nossos custos operacionais estáveis e bem abaixo do mercado, resultado de uma eficiência de primeira linha. Tudo isso resultou em mais um trimestre de receitas e lucros recordes, que nos permitem continuar investindo em entregar produtos e experiências cada vez melhores aos nossos clientes.

Nesta edição da NuHeadlines, você lê mais sobre os resultados do segundo trimestre, e ainda: Nu anuncia Eric Young como novo CTO; Guilherme Lago fala sobre a operação do Nu México em novo episódio do Nu Videocast; e muito mais.",865,41,41,11/09/2025,5820091
Nu,"Primeiro keynote confirmado na Clojure South, a maior conferência de Clojure na América Latina.

, líder do time de Clojure no Nubank e membro do core team da linguagem desde 2013, estará entre os keynotes da conferência.

No segundo dia do evento, 7 de Outubro, a programação será dedicada a palestras sobre Clojure, ClojureScript, Datomic e outros temas relevantes para a comunidade. A chamada de palestrantes continua aberta no site.

Ah, e não se esqueça: a pré-venda de ingressos termina amanhã!

👉 Garanta sua vaga na conferência com valor promocional e saiba como participar como palestrante em:",185,8,8,12/08/2025,5820091
Nu,"Como garantir sua vaga no Programa de Estágio Nu? 🔑 

As dicas detalhadas estão no primeiro comentário, mas aqui vai um panorama rápido para te guiar ao longo do processo seletivo:

1) Inscrição: Preencha com cuidado e compartilhe seus interesses.
2) Teste online: Utilize os materiais que disponibilizamos para se preparar. Atenção aqui é a chave.
3) Desafio técnico: Demonstre suas habilidades de forma prática e criativa, desafiando o convencional, assim como nós.
4) Entrevistas: Compartilhe sua trajetória e valide o porquê você quer fazer parte do nosso time.

Se você quer construir o futuro roxo com o Nubank, essa é a sua chance!

📅 Inscrições abertas até 19 de agosto:",750,42,42,12/08/2025,5820091
Nu,"A chamada de palestrantes e a pré-venda de ingressos para a Clojure South 2025 já começaram!

Clojure South 2025, organizada pelo Nubank, é a principal conferência da comunidade de Clojure na América Latina, voltada para entusiastas e profissionais da linguagem funcional.

- Chamada de Palestras: Estamos em busca de propostas de palestras e lightning talks sobre Clojure, ClojureScript, Datomic e temas relevantes para a comunidade. Prazo para submissão vai até o dia 22 de Agosto.

- Ingressos: A pré-venda já está aberta, com valores promocionais disponíveis até o dia 7 de Agosto. Após essa data, inicia-se a venda geral.

Saiba mais e participe:",132,2,2,12/08/2025,5820091
Nu,"Em Julho, o Nubank deu as boas-vindas aos executivos Ethan Eismann, primeiro Chief Design Officer da companhia, Roberto Campos Neto, Vice-Chairman e Chefe Global de Políticas Públicas, e Otávio Ribeiro Damaso, consultor para assuntos regulatórios e de gestão de riscos.

Nesta edição da NuHeadlines, você encontra informações sobre a chegada e o papel de cada um deles dentro da companhia, e mais: o lançamento do NuCoin, nosso novo programa de recompensas, a chegada dos pagamentos instantâneos na Colômbia e o marco de 12 milhões de clientes no México.",1095,24,24,12/08/2025,5820091
Nu,"Ser Nubanker significa desafiar o status quo para construir produtos e serviços cada vez melhores para nossos 122 milhões de clientes todos os dias. À frente dessa operação, está um time de líderes fortes, engajados e que arregaçam as mangas para fazer o extraordinário acontecer, promovendo um ambiente de constante evolução impulsionado pela nossa missão.

No fim de agosto, a alta liderança da empresa se reuniu ao longo de uma semana para atualizar objetivos, trocar conhecimento e renovar as energias para concretizar novos planos ambiciosos. Neste vídeo, alguns deles compartilharam sua experiência de fazer parte da construção do futuro roxo e como é trabalhar em um ambiente que oferece aos Nubankers a oportunidade inovar e se adaptar continuamente.

Assista ao vídeo completo aqui:",798,14,14,11/10/2025,5820091
