profile,text,reactions,comments,shares,created_at,followers
Ualá,"💙 El 
hashtag
#EmpreDay de 
hashtag
#Empretienda vuelve este 4 de diciembre ✨

📣 El punto de encuentro entre el e-commerce y la comunidad emprendedora. 

Un espacio para aprender, inspirarte y potenciar tu negocio. 🚀
Charlas con referentes, tendencias y estrategias reales para vender más. 💡

🎥 En vivo por YouTube
📅 Jueves 4 de diciembre | 10h 🇦🇷
🎟️ Evento gratuito

✨ Registrate en este link 👉",20,0,1,07/11/2025,574098
Ualá,"Una campaña que nos llena de orgullo. 🤩 🚀 Connie y Luchi nos cuentan cómo se craneó el concepto “Estás para Ualá.”, una frase que repetimos todo el tiempo. Porque sí, si estás para la mejor app de finanzas del mercado, estás para Ualá. ✅ PD: sí, es un banco posta.",37,3,0,06/11/2025,574098
Ualá,"💙 Llega el 
hashtag
#EmpreDay de 
hashtag
#Empretienda, el evento donde el e-commerce y la comunidad emprendedora se encuentran.

Un día para aprender, inspirarte y conectar con personas que, como vos, están haciendo crecer su negocio todos los días.

Charlas con referentes del e-commerce, tendencias, herramientas simples y muchas ideas para llevar tu tienda al siguiente nivel. 🚀

📅 4 DE DICIEMBRE
✨ Inscribirte para vivirlo por streaming 👉

Porque cuando los emprendedores se juntan, pasan cosas grandes.",47,5,5,04/11/2025,574098
Ualá,"¡Dijimos presente en el evento más importante de Educación Financiera en México 🇲🇽! 

Más de 3.000 personas pasaron por nuestro stand y se animaron a poner a prueba sus conocimientos con tres retos financieros. 💪💸

La educación financiera es clave para construir un México más próspero e inclusivo. Por eso, desde Aula Ualá (), apoyamos iniciativas como la Semana Nacional de Educación Financiera
.

Gracias a lapor su liderazgo, a nuestros aliados de la
ypor hacer posible este espacio de aprendizaje.

¡Por muchos más encuentros para seguir trabajando por la educación financiera! 🙌",44,3,3,03/11/2025,574098
Ualá,"🇦🇷 Gran jornada de aprendizaje en el Ualá Security Day 2025 🚀

Como parte de nuestro compromiso con la seguridad, reunimos a nuestros equipos técnicos para una capacitación junto a, centrada en el diseño seguro de productos en la nube. ☁️🔒

Durante la jornada abordamos temas clave como:

💡 Arquitectura de Apps Serverless Seguras
🤖 Seguridad en GenAI
💳 PCI DSS en infraestructura AWS
🧠 Y un workshop práctico de Serverless Security

Gracias al equipo de AWS por el apoyo, y a nuestros equipos de Tecnología, Seguridad e IT & Security Compliance por ser parte de esta experiencia. 💪",221,18,18,18/10/2025,574098
Ualá,A las mamás de Ualá en 🇦🇷 Argentina les deseamos un muy feliz día y que celebren rodeadas de cariño. ✨,118,25,25,25/10/2025,574098
Ualá,"🇲🇽 Liverpool + Ualá: la combinación perfecta para tus compras 🛍️

Nos unimos a Liverpool, una de las tiendas de retail más icónicas de México, para que puedas comprar con tu tarjeta de crédito Ualá y pagar a meses sin intereses. 😍

📍 Consulta marcas, secciones y plazos participantes 👉 en tiendas Liverpool o en",53,2,2,18/10/2025,574098
Ualá,"🌎 Esta semana celebramos el Día de la Educación Financiera y la Semana Mundial de las Inversoras e Inversores.

Dos fechas que nos recuerdan la importancia de aprender, planificar y animarnos a dar pasos hacia el futuro financiero que queremos.

Queremos saber 👉 Cuando pensás en invertir, ¿qué es lo primero que se te viene a la mente?

📊 ¡Votá en la encuesta y contanos! ⬇️",18,1,0,09/10/2025,574098
Ualá,"Todo empezó hace 8 años con una misión tan simple como ambiciosa: llevar los servicios financieros de América Latina al siglo XXI.

Crear una solución financiera que las personas realmente quieran usar. Y logramos mucho: hoy más de 10 millones de clientes ya confían en nosotros. 🌎✨

Hacer fácil lo difícil: sin letra chica, sin filas, sin horarios… siempre escuchando lo que nos piden.

Por eso, cumplir 8 años no es sólo un hito. Es confianza. Es impulso. Es una comunidad. Gracias por empujar junto a nosotros los límites de lo posible. 🙌

Seguimos acá, trabajando todos los días sin descanso para sumar millones de clientes más.

¿Estás para Ualá? Estás para.",273,9,9,09/10/2025,574098
Ualá,"Pierpaolo Barbieri participó del Foro Argentino de Inversiones para conversar sobre el crecimiento de Ualá y nuestra estrategia de expandirnos como bancos en toda América Latina.

Allí destacó que ya superamos los 10 millones de clientes en la región, el impacto de haber obtenido licencias bancarias en 🇦🇷, 🇲🇽 y 🇨🇴, y la incorporación de inteligencia artificial con Uali, nuestro agente desarrollado junto a.

Gracias ay() por el espacio para compartir el camino recorrido, el apoyo de nuestros inversores y los proyectos que estamos construyendo hacia el futuro.",68,1,1,09/10/2025,574098
Ualá,"🌟 El desarrollo no se espera: se construye

Celebramos el Career Month, un mes donde el desarrollo profesional fue protagonista. Creamos espacios para que nuestro equipo pudiera reflexionar, conectar, aprender y compartir su historia.

👉 Más de 10 charlas y trainings que incluyeron:

- Ownership & onlyness profesional con
- Marca personal con
- Career Talks conde
- Learning agility & Growth mindset condel equipo de
- Conversaciones con líderes comoy

✨ Con cientos de personas participando regionalmente, confirmamos algo clave: el desarrollo se vive, se construye y se impulsa todos los días.

💬 También relanzamos herramientas como nuestro Growth Map y un Growth Coach, chatbot con AI, para que cada persona pueda ser protagonista de su desarrollo, con la información que necesita, cuando la necesita.

💡 Encreemos que crecer profesionalmente no es un destino, sino una práctica. Y este mes fue una nueva forma de demostrarlo. 💪",164,7,7,09/10/2025,574098
Ualá,"🇦🇷 ¡Subimos la tasa de la cuenta remunerada! 😎

🔹 Si en lo que queda del mes sumás $250.000 en ciertas operaciones → el mes que viene tu tasa plus sube hasta 45% TNA.
🔹 Y si sumás $500.000 → el mes que viene tu tasa plus sube hasta 48% TNA 🔥.

👉 Sólo necesitás tener entre $10.000 y $1.000.000 en tu cuenta para que genere rendimientos.
👉 Las tasas que te mostramos son las vigentes hoy. Tené en cuenta que pueden cambiar con el tiempo.

Cuanto más usás Ualá, más rinde tu plata. 👉 Estás para.",39,3,3,18/10/2025,574098
Ualá,"🇦🇷 ¿Estás para comprar dólar oficial? Estás para Ualá, un banco posta. 💸

Comprás y los recibís al instante en tu cuenta en dólares, y lo mejor: podés hacerlo las 24h, todos los días, sin comisiones.

🔥 La compra y venta de dólar oficial, también te ayuda a alcanzar la tasa plus en tu cuenta remunerada el mes que viene.
💡 Acordate que para poder comprar tenés que tener una cuenta en dólares. La abrís gratis desde la app y no pagás costos de mantenimiento.
🔔 ¿Todavía no ves la opción disponible? Tranqui, se va a ir habilitando progresivamente.

Seguimos ampliando nuestra propuesta para que administres tu plata en pesos y en dólares en un mismo lugar, de forma fácil y regulada.",90,1,1,18/10/2025,574098
Ualá,"🚀 Nos propusimos un objetivo ambicioso: transformar la experiencia de atención al cliente. Y sí, lo logramos.

Así nació Uali, nuestro asistente virtual impulsado por GenAI, que ya ofrece respuestas con +92% de certeza y mejora cada día la forma en la que acompañamos a quienes usan nuestros productos. ✨🤖

En este artículo,, Director de AI & Data Platform, comparte cómo fue el camino para hacerlo posible:

🔹 Los aprendizajes de pasar de un laboratorio a producción
🔹 Las herramientas que desarrollamos para medir calidad y anticipar necesidades
🔹 Y cómo convertimos a Uali en mucho más que un bot: en una nueva forma de relacionarnos con nuestros clientes

📖 Leé la nota completa acá 👇",151,9,9,09/10/2025,574098
Ualá,"Cada persona tiene su propia manera de organizarse con el dinero 💸

Algunas más tradicionales, otras más digitales, pero todas con el mismo objetivo: tener un mejor control de los gastos.

👉 Contanos: ¿cómo lo hacés vos?",26,4,4,09/10/2025,574098
