username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position
BalanzCapital," Lanzamos Balanz Global Equity, el primer fondo de acciones internacionales aprobado por la 
@CNVArgentina
  (RG 1030), que permite a inversores calificados acceder a una cartera diversificada de acciones líderes y ETFs globales.",26,5,1,3000,2025-09-19T20:08:28.000Z,,0.0,
BalanzCapital,"La presentación se realizó en nuestra Sala de Arte junto a autoridades de 
@CNVArgentina
  y 
@CAFCIFondos
 . En Balanz seguimos impulsando alternativas que combinan innovación, diversificación y visión global. 
#BalanzGlobalEquity",7,0,0,1000,2025-09-19T20:09:02.000Z,,0.0,
BalanzCapital,"Estamos en vivo  Juan Manuel Gettas, Investment Strategist en Balanz, analiza en diálogo con Pablo Wende las novedades en torno a la reunión de la FED  y su impacto en los mercados. Miralo ahora acá ",2,0,0,2000,2025-09-19T14:45:42.000Z,,0.0,
BalanzCapital," La Reserva Federal recortó su tasa en 25pbs hacia 4.0-4.25%, en línea con lo esperado.

La decisión no fue unánime: Stephen Miran, designado recientemente por Trump, votó por un recorte de 50pbs.

 En el comunicado:
Se destacó un mayor deterioro del mercado laboral: menor",9,0,0,3000,2025-09-17T18:36:39.000Z,,0.0,
BalanzCapital," Reacción del mercado: cadena nacional + expectativa de la Fed

En este nuevo episodio del Balanz Investment Insight analizamos el comportamiento del mercado local tras las elecciones en PBA y el impacto de la cadena nacional del lunes 15.
En el plano internacional, toda la",5,0,0,2000,2025-09-16T14:51:09.000Z,,0.0,
BalanzCapital," Nuevo episodio de Balanz Investment Insights

 Mercados en foco: Mercado Argentino pre electoral y resultados de balances de USA

En este episodio:
 Los resultados de la última licitación del Mecon y las emisiones corporativas.
 Análisis del mercado argentino en la",3,0,0,1000,2025-09-02T16:43:51.000Z,,0.0,
BalanzCapital,"Obligaciones Negociables  Plaza Logística S.R.L. 

Ya podés participar en esta licitación  
balanz.in/3JZfCTX",1,0,0,1000,2025-09-01T14:53:56.000Z,,0.0,
BalanzCapital," ¿Qué hacer con tus ahorros en el corto plazo?⁣
No dejes que pierdan valor: invertí hoy en alternativas simples y seguras, con liquidez en 24 hs.⁣
⁣
 Opciones en Pesos y Dólares⁣
 Diseñadas para perfiles conservadores⁣
 Horizonte de inversión de corto plazo",0,0,0,1000,2025-09-01T13:30:00.000Z,,0.0,
BalanzCapital,"Feriado en Estados Unidos  ¿Qué tener en cuenta?⁣⁣

Lunes 1 de septiembre

Mercados internacionales: no habrá operatoria
Mercados locales: operarán con normalidad, sin embargo, no habrá liquidación de operaciones en dólar cable.",5,0,0,1000,2025-08-28T19:36:22.000Z,,0.0,
BalanzCapital,"Nueva Licitación en Obligaciones Negociables ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣
Plaza Logística S.R.L. es la empresa líder en el desarrollo y operación de parques logísticos triple A en Argentina, reconocida por su innovación y altos estándares internacionales de calidad, seguridad y",2,1,0,3000,2025-08-28T19:27:44.000Z,,0.0,
BalanzCapital,"Nueva Licitación en Obligaciones Negociables ⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣
Cresud es una compañía agrícola enfocada en la adquisición, desarrollo y operación de tierras con potencial de valorización, principalmente en Argentina, Brasil, Bolivia y Paraguay. A marzo 2025, Cresud tiene",3,0,0,1000,2025-08-28T14:19:35.000Z,,0.0,
BalanzCapital," NVIDIA – Resultados Q2 FY2026

La compañía superó las expectativas del mercado, pero con señales de desaceleración en el crecimiento:

 Ingresos: US$46,7B vs. US$46,1B esperado
 BPA ajustado: US$1,04 vs. US$1,01 esperado
 Data Center: US$41,1B, por debajo de lo previsto",2,0,0,865,2025-08-28T13:58:16.000Z,,0.0,
BalanzCapital," ¿Querés conocer las claves para aprovechar el Trade Financiero?

Isabel Botta, Product Manager, comparte nuestra mirada sobre está estrategia.

Lee la columna completa para Ámbito",3,0,1,1000,2025-08-18T13:47:22.000Z,,0.0,
BalanzCapital," Inflación de julio

La inflación de julio fue 1.9% m/m y, por tercer mes consecutivo, se mantuvo por debajo del 2%.

 IPC general: 1.9% m/m, en línea con nuestra proyección y levemente por encima del consenso del REM (Balanz: 1.9%; REM: 1.8%)
 Inflación núcleo: 1.5% m/m",5,0,0,1000,2025-08-13T19:46:00.000Z,,0.0,
BalanzCapital,"Anticiparse es parte de invertir ⁣
⁣
En Balanz, analizamos el contexto y nos anticipamos a los posibles movimientos del mercado.⁣
⁣
 Creamos 3 estrategias de inversión que se adaptan a distintos resultados posibles.⁣
⁣
entrá a la app y descubrilas ",3,0,0,1000,2025-08-13T18:21:33.000Z,,0.0,
BalanzCapital," Split en C.O.M.E. (Sociedad Comercial del Plata)
La empresa realizó un split de acciones con relación 561/250.
¿Sabés qué significa? Te lo explicamos ",7,0,3,1000,2025-08-13T17:12:11.000Z,,0.0,
BalanzCapital," Importante:
 No cambia el valor total de tu inversión.
 Lo que cambia es la cantidad de acciones y el precio unitario.

 El precio por acción se ajusta según la relación del split:
561 ÷ 250 ≈ 2,244
Es decir, cada acción ahora vale menos, pero tenés más acciones.",3,1,2,1000,2025-08-13T17:13:02.000Z,,0.0,
BalanzCapital, Desde Balanz estamos trabajando para que veas reflejado este cambio en tu cuenta de inversión lo antes posible.,3,0,0,1000,2025-08-13T17:13:24.000Z,,0.0,
BalanzCapital," ¿Por qué se hace un split?
Generalmente para:
Dar mayor liquidez a la acción.
Facilitar la operatoria para inversores minoristas.",2,0,0,254,2025-08-13T17:13:12.000Z,,0.0,
BalanzCapital,"Feriado en Argentina  ⁣⁣Todo lo que tenés que saber ⁣⁣⁣
⁣
 Viernes 15 de agosto
Mercados locales: No habrá operatoria.⁣
Mercados internacionales: operarán con normalidad.",1,1,0,955,2025-08-13T14:27:30.000Z,,0.0,
BalanzCapital,"Estamos en vivo 

Sumate 
youtube.com/watch?v=OpfeSZ
…",2,0,0,2000,2025-08-12T20:09:03.000Z,,0.0,
BalanzCapital," Nuevo episodio de Balanz Investment Insights

 Licitación, inflación, trade electoral y balances en EE.UU.
Esta semana el mercado vino cargado de definiciones. En este episodio analizamos:

 Qué dejó la última licitación del Ministerio de Economía
 El nuevo dato de",3,0,0,1000,2025-08-12T17:35:41.000Z,,0.0,
BalanzCapital,¿Por qué sube tanto Ethereum? En este hilo te contamos todo ,7,1,1,1000,2025-08-12T14:51:51.000Z,,0.0,
BalanzCapital,"La compra no es solo por la valorización del activo, sino por el potencial de su red:
 Aplicaciones descentralizadas
 Contratos inteligentes
 Ecosistema Web3

BitMine quiere posicionarse como referente de tenencia de Ethereum. Además, aprovecha herramientas como el staking",0,0,1,858,2025-08-12T14:53:37.000Z,,0.0,
BalanzCapital,"Las elecciones generan incertidumbre, pero también  oportunidades para quienes saben leer el contexto.⁣
⁣
En Balanz lanzamos tres estrategias pensadas para ayudarte a invertir según cada escenario de resultados.  ⁣
⁣
 Entrá y descubrilas 
bit.ly/4fBgdXU",3,1,0,1000,2025-08-11T16:49:24.000Z,,0.0,
