username,text,likes,retweets,replies,views,created_at
brubankarg,"Dale la bienvenida a la primavera con estas promociones. 
Del 19 al 21 de septiembre, 10% OFF en tus lugares favoritos, Ronnie Burger, Occo Helados, Sushi Olazábal, Fulano Café e Integra.
help.brubank.com/es/collections
…",3,0,3,1000,2025-09-19T14:29:51.000Z
brubankarg,"Ahora podés enviar plata al exterior desde Brubank 
Simple, rápido y desde la app, usando tu saldo en pesos

 Conversión al instante
 Disponible 24/7
 España, Colombia, Paraguay, Chile, Estados Unidos, Uruguay, Bolivia y Venezuela.

Probalo desde Transferencias > Envíos",153,11,22,49000,2025-09-15T19:54:58.000Z
brubankarg,"Volvé a disfrutar el show que transformó el escenario en una puesta teatral increíble. Revivilo las veces que quieras, solo en Flow.",275,10,7,1000000,
brubankarg," ¡En julio, moverte en subte es casi gratis! Pagá con tu Visa Brubank desde el celular y te reintegramos el 90% 
Cargala en Apple Wallet, Google Pay o MODO y viajá más por menos.
visa.com.ar/es_ar/promocio
…",9,0,18,3000,2025-07-14T20:07:58.000Z
brubankarg," ¡Este 10 y 11 de julio tenés 20% de reintegro sin tope en shoppings!

Escaneá el QR de MODO desde la app de Brubank y ahorrá en comercios de shoppings adheridos.
modo.com.ar/promos/irsajul
…",5,0,3,2000,2025-07-10T15:18:45.000Z
brubankarg,"Se viene el aguinaldo… Llevá tu plata al próximo nivel.

En Brubank podés comprar Dólar Oficial, invertir en FCI en pesos o dólares y CEDEARs...

¿Qué estrategia vas a elegir para tu próximo movimiento?",5,0,19,3000,2025-06-17T19:11:01.000Z
brubankarg," ¡Este 12 y 13 de junio tenés 20% de reintegro sin tope en shoppings!

Escaneá el QR de MODO desde la app de Brubank y ahorrá en comercios de shoppings adheridos.
 Más simple, más ahorro.
modo.com.ar/promos/irsajun
…",4,0,6,2000,2025-06-12T15:40:33.000Z
brubankarg,"Hasta el 15 de junio, celebrá el Día del Padre con Brubank 
Pagando con tu tarjeta de crédito accedés a:
 6 cuotas sin interés
 Hasta 20% de reintegro

En Lázaro, Macowens, Devré, Sweet, Paddle Watch y Parfumerie.
Solo con Visa crédito Brubank 

 Más info y marcas",4,0,5,3000,2025-06-09T15:58:18.000Z
brubankarg,"Cobrás y en 2 segundos comprás dólares
En Brubank te garantizamos el mejor precio, sin comisiones y desde la app.
100% online, los 7 días de la semana.",7,0,10,3000,2025-06-03T20:17:48.000Z
brubankarg,"Tienda Brubank abrió sus puertas para que puedas comprar todo lo que necesitás ( o querés )
Conocé nuestros productos destacados con precios inmejorables.
tiendabrubank.com

Aplican términos y condiciones.",40,2,17,7000,2025-05-30T21:05:00.000Z
brubankarg,"Te presentamos Brubank Pix: La forma más fácil y rápida de pagar tus consumos en Brasil.. 
Desde la cerveza en la playa hasta el paseo en barco, ahora podés pagar directamente con tus pesos a través de la red Pix, ¡la más popular en Brasil!",20,1,6,6000,2025-05-30T19:04:39.000Z
