username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position
cocoscap,"CUIDATE DE LAS ESTAFAS Y RECORDÁ QUE:   

Nunca vamos a pedirte que nos compartas tu contraseña o datos sensibles por redes sociales. 

Para comunicarte con atención al cliente, podés generar un ticket desde la app o chatear con nosotros de 11 a 16hs. ",39,10,222,151000,2025-02-28T13:06:52.000Z,,0.0,
cocoscap," El post de 
@arielsbdar
 que dividió las redes: ¿#propiedad o #bolsa? En diálogo con Forbes, el CEO y cofundador de 
@cocoscap
 vuelve sobre el debate que generó en X cuando compartió su visión sobre qué hacer con los #ahorros.",10,2,2,2000,2025-09-21T13:03:16.000Z,,0.0,
cocoscap,Alguien sabe cómo poner esta foto completa de portada?,13,0,12,15000,2025-09-17T15:23:25.000Z,,0.0,
cocoscap," ¿Cómo impactará el resultado electoral en los mercados?

Este domingo seguimos EN VIVO las elecciones de PBA y analizamos qué puede pasar con el dólar, los mercados y las inversiones.

Junto a 
@Laralopezcalvo1
 
 21:30 hs
 YouTube
 Sumate: 
youtube.com/live/m3d9uM-oR
…",36,6,1,15000,2025-09-05T21:20:49.000Z,,0.0,
cocoscap,"Asado en América, interior de la provincia de Buenos Aires. Hubo breve charla de economía y pregunté que app tienen para invertir y también pagar en el día a día. 8 de 10 usamos 
@cocoscap
 . Educación financiera federal 
@arielsbdar
 ",9,2,0,7000,2025-09-05T17:05:06.000Z,,0.0,
cocoscap," En agosto nos consolidamos en el Top 3 de mayor volumen operado en acciones en BYMA.

 Con un 7,73 %, Cocos ocupó el puesto #2 del ranking.

Seguimos creciendo para acercar el mercado de capitales a cada vez más personas ",11,2,7,3000,2025-09-01T20:19:17.000Z,,0.0,
cocoscap,"Mirá el ranking completo en: 
byma.com.ar/mercado/para-a
…",1,0,0,2000,2025-09-01T20:19:18.000Z,,0.0,
cocoscap,"Segundo día construyendo junto a 
@TECHOarg
 

Con mucho esfuerzo y trabajo en equipo avanzamos en la construcción de 4 viviendas. 
La lluvia nos hizo frenar, pero no detiene las ganas de seguir construyendo futuro. ",14,3,4,4000,2025-08-31T16:02:49.000Z,,0.0,
cocoscap,"¿Te levantaste y el clima pide facturas? 

Dejalo en nuestras manos  30% OFF en 
@pedidosya
 pagando con tu Tarjeta Cocos ",10,1,4,3000,2025-08-31T13:03:00.000Z,,0.0,
cocoscap,"Empezamos la construcción de 4 casas junto a 
@TECHOarg
 y todo el equipo de Cocos ",33,4,7,4000,2025-08-30T16:34:49.000Z,,0.0,
cocoscap," La Secretaría de Finanzas adjudicó $3,788 billones en la licitación de hoy, sobre ofertas por $3,799 billones.

 Instrumento: TAMAR
 Vto. 28/11/25 (M28N5)
 Tasa: +1,00% TNA

Esta colocación contribuye al objetivo de absorción monetaria, tras la suba de encajes del BCRA.",20,2,7,5000,2025-08-18T18:44:44.000Z,,0.0,
cocoscap," ¿Qué está pasando con las tasas?
En  1 minuto, nuestros asesores te explican las claves para entender el mercado hoy.",21,5,4,5000,2025-08-14T22:19:45.000Z,,0.0,
