username,text,likes,retweets,replies,views,created_at
BancoGalicia,¿Tenés dudas o consultas? Escribinos por WhatsApp todos los días las 24 horas y recibí respuesta al toque.,110,77,0,224000,2023-08-04T14:44:26.000Z
BancoGalicia," Like si siempre apoyás la tarjeta vos. 

Comentá si sos vos el que entrega la tarjeta.

La forma correcta es esta ",4,0,10,2000,2025-09-19T14:58:22.000Z
BancoGalicia,"¡No pierdas de vista tu tarjeta! 
 Así evitás clonaciones o cualquier tipo de estafa. 

Más info: 
galicia.ar/personas/preve
…

Tenés tips de seguridad.
Tenés Galicia.",1,1,4,1000,2025-09-19T14:59:01.000Z
BancoGalicia,"Una simple tilde te puede ahorrar un gran problema 

Chequeá siempre que la cuenta Galicia esté verificada y evitá caer en una estafa.

Más info: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. 
Tenés Galicia ",2,1,10,3000,2025-08-08T18:02:01.000Z
BancoGalicia,"Sabemos cuáles son esas dudas que te quitan el sueño, y estamos acá para resolverlas. Abrimos hilo ",3,0,16,3000,2025-08-01T20:13:23.000Z
BancoGalicia,"¿Voy a ganar entradas gratis en el próximo concurso de Galicia? 

Hay muchos ganadores. Tené fe, juntá likes y ¡cruzá los dedos!",1,0,3,3000,2025-08-01T20:14:36.000Z
BancoGalicia,"¿Qué hago si me piden el Token Galicia? 

No lo compartas nunca. Es solo tuyo y es confidencial.

Tenés tips de seguridad. 
Tenés Galicia ",4,0,5,2000,2025-08-01T20:14:59.000Z
BancoGalicia,"¡AY qué susto! 
Con Galicia tenés las promos que te gustan, con reintegros al toque.

Encontrá en la App Galicia todos los beneficios, para disfrutar y ahorrar. 

Más información: 
galicia.ar/personas/busca
…",5,2,7,3000,2025-07-30T15:34:06.000Z
BancoGalicia,"¿Cómo actuar frente a un mail dudoso?

 Frená un segundo.
 No hagas clic en enlaces ni adjuntos. 
 Reportalo mandándonos un mail a phishing@bancogalicia.com.ar.

Conocé más: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. 
Tenés Galicia ",6,2,15,3000,2025-07-25T19:56:01.000Z
BancoGalicia,"Es simple, ninguna persona te va a pedir el Token Galicia.

Es un dato personal y confidencial, no se lo pases a nadie.

Más info: 
galicia.ar/personas/preve
…

Tenés tips de seguridad.
Tenés Galicia ",2,0,14,3000,2025-07-18T17:34:33.000Z
BancoGalicia,"Aprendé a identificar a los mentirosos 

Si la cuenta de Galicia no tiene tilde de verificación, es una cuenta falsa.

Más info: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. Tenés Galicia ",5,3,29,3000,2025-07-11T19:36:38.000Z
BancoGalicia,"Las habilidades de una ahorradora y experta en seguridad

¿Cómo identifico una promo falsa? 
Chequeá que la publicación sea desde una cuenta que tenga la tilde de verificación.
 Revisá que esté en nuestro buscador de promociones en 
Galicia.ar o tu App Galicia",3,2,8,4000,2025-04-25T20:08:30.000Z
BancoGalicia,"Estamos en pascuas, pero... ¡NO LE CREAS!  

No le compartas tu Token Galicia a nadie, nunca te lo vamos a pedir para ayudarte. 

Tenés tips de seguridad.
Tenés Galicia.",4,1,11,4000,2025-04-18T13:06:06.000Z
