username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position
uala_arg,"Cargar nafta y que te reintegren parte de lo que pagás 
Te contamos cómo ",5,0,2,2000,2025-09-20T15:02:14.000Z,,0.0,
uala_arg,"Todos los sábados, pagando en Axion con tu Tarjeta de Crédito Ualá, recibís un reintegro del 15%
 Tope $5000 por semana (hasta $20.000 al mes)",1,0,2,1000,2025-09-20T15:02:14.000Z,,0.0,
uala_arg," Pagando con tu tarjeta física o desde el celu 
*Válido desde el 15 de septiembre al 31 de diciembre.",1,0,0,1000,2025-09-20T15:02:15.000Z,,0.0,
uala_arg,Esta pelea ya tiene ganador,10,0,2,2000,2025-09-19T16:16:19.000Z,,0.0,
uala_arg,"¿Pagar menos por salir sin billetera? Existe. Y no es porque te pagó un amigo.
Te cuento cómo hacerlo ",4,0,1,2000,2025-09-19T13:30:43.000Z,,0.0,
uala_arg,Agregá tus tarjetas Ualá a la wallet de tu celu y pagá acercando tu celu o reloj a la terminal y listo.,2,0,2,1000,2025-09-19T14:12:21.000Z,,0.0,
uala_arg,"Además, pagando así tenés promos gigantes en: 
Supermercados 
Gastronomía 
 Transporte",0,0,1,1000,2025-09-19T14:14:36.000Z,,0.0,
uala_arg,"Que me parta un rayo si gasté de más este mes.
El cielo:",26,4,2,3000,2025-09-19T12:48:14.000Z,,0.0,
uala_arg,"Si a los 15 podés ganar un Emmy 
también podés empezar a manejar tu plata con #CuentaMenores ",19,0,4,6000,2025-09-15T15:31:36.000Z,,0.0,
uala_arg,"Hay gente que está para invertir en 8 billeteras diferentes, seguir el mercado todos los días y leer 20 hilos de X antes de mover un peso

Vos y yo sabemos que vos no.

 Acá te contamos por qué, si no sos esa gente… estás para Ualá ",3,0,5,1000,2025-09-13T15:49:25.000Z,,0.0,
uala_arg,"Pagás con el celu, controlás tus gastos y tenés a descuentos en restaurantes, súper, subte y más desde un mismo lugar.",0,0,2,1000,2025-09-13T15:49:26.000Z,,0.0,
uala_arg,"Si no estás para andar saltando de app en app ni queres complicarte..

Estás para Ualá",0,0,0,1000,2025-09-13T15:49:27.000Z,,0.0,
uala_arg,"Estamos para saber qué opinan 
Andá votando

¿Te pasa que no estás para hacer filas?",2,0,1,1000,2025-09-12T19:26:39.000Z,,0.0,
uala_arg,¿Te pasa que ya no estás para ver 80 videos para entender cómo invertir?,1,0,1,1000,2025-09-12T19:26:40.000Z,,0.0,
uala_arg,"Si todo esto te representa… Estás para dejar de complicarte 
Estás para Ualá",3,0,1,1000,2025-09-12T19:26:40.000Z,,0.0,
uala_arg,"Con Ualá no tenés que elegir entre flan o vigilante 
Este finde invitá el postre que tenés un 30% de reintegro en gastronomía.",6,0,1,2000,2025-09-12T18:23:27.000Z,,0.0,
uala_arg,"Conrad: guardando la carta en la billetera 
Yo: guardando mi Ualá 

Lo importante va en tu billetera ;)
#TeamUalá",7,0,2,5000,2025-09-11T20:40:41.000Z,,0.0,
uala_arg,"Cosas que me gustan de los jueves:
- Tiene ese gustito a casi fin de semana
- 15% de descuento sin tope en 
carrefour.com.ar",4,0,3,1000,2025-09-11T13:57:00.000Z,,0.0,
uala_arg,"Te lo dice Katy, te lo decimos nosotros.
Estás para Ualá.",17,0,2,3000,2025-09-10T21:25:53.000Z,,0.0,
uala_arg,"Compralo, para eso tenés Ualá 
6 cuotas sin interés en Adidas, Dash, Grid y Seven Sport 
*En locales adheridos.",7,0,2,2000,2025-09-09T21:02:01.000Z,,0.0,
