tweet_id,text,sentiment,score,confidence,emotions,tone,keywords,explanation,likes,retweets,replies,views,created_at
0,"Dale la bienvenida a la primavera con estas promociones. 
Del 19 al 21 de septiembre, 10% OFF en tus lugares favoritos, Ronnie Burger, Occo Helados, Sushi Olazábal, Fulano Café e Integra.
help.brubank.com/es/collections
…",positivo,80,95,"alegría,entusiasmo",promocional,"primavera,promociones,10% OFF","El tweet presenta una promoción atractiva para la llegada de la primavera, lo que genera un sentimiento positivo y de entusiasmo.",3,0,3,1000,2025-09-19 14:29:51+00:00
1,"Ahora podés enviar plata al exterior desde Brubank 
Simple, rápido y desde la app, usando tu saldo en pesos

 Conversión al instante
 Disponible 24/7
 España, Colombia, Paraguay, Chile, Estados Unidos, Uruguay, Bolivia y Venezuela.

Probalo desde Transferencias > Envíos",positivo,85,95,"entusiasmo,alegría",promocional,"enviar plata,Brubank,simple,rápido,exterior","El tweet anuncia una nueva funcionalidad de manera positiva, destacando la facilidad y rapidez del servicio. El tono es promocional y genera entusiasmo.",153,11,22,49000,2025-09-15 19:54:58+00:00
2,"Volvé a disfrutar el show que transformó el escenario en una puesta teatral increíble. Revivilo las veces que quieras, solo en Flow.",positivo,85,90,"entusiasmo,alegría",promocional,"disfrutar,show,increíble,Flow,teatral","El tweet es claramente positivo y promocional, invitando a disfrutar de un espectáculo calificado como 'increíble'. Utiliza lenguaje persuasivo para generar entusiasmo.",275,10,7,1000000,
3," ¡En julio, moverte en subte es casi gratis! Pagá con tu Visa Brubank desde el celular y te reintegramos el 90% 
Cargala en Apple Wallet, Google Pay o MODO y viajá más por menos.
visa.com.ar/es_ar/promocio
…",positivo,85,90,"alegría,entusiasmo",promocional,"subte,gratis,Visa Brubank,reintegro,celular",El tweet es mayormente positivo debido a la promoción de viajes en subte casi gratis y la facilidad de pago con reintegro. Genera alegría y entusiasmo por la oportunidad de ahorrar.,9,0,18,3000,2025-07-14 20:07:58+00:00
4," ¡Este 10 y 11 de julio tenés 20% de reintegro sin tope en shoppings!

Escaneá el QR de MODO desde la app de Brubank y ahorrá en comercios de shoppings adheridos.
modo.com.ar/promos/irsajul
…",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),5,0,3,2000,2025-07-10 15:18:45+00:00
5,"Se viene el aguinaldo… Llevá tu plata al próximo nivel.

En Brubank podés comprar Dólar Oficial, invertir en FCI en pesos o dólares y CEDEARs...

¿Qué estrategia vas a elegir para tu próximo movimiento?",positivo,75,85,"entusiasmo,alegría",promocional,"aguinaldo,dólar,invertir,estrategia",El tweet genera una sensación positiva al asociar el aguinaldo con oportunidades de inversión y crecimiento financiero.,5,0,19,3000,2025-06-17 19:11:01+00:00
6," ¡Este 12 y 13 de junio tenés 20% de reintegro sin tope en shoppings!

Escaneá el QR de MODO desde la app de Brubank y ahorrá en comercios de shoppings adheridos.
 Más simple, más ahorro.
modo.com.ar/promos/irsajun
…",positivo,85,90,"alegría,entusiasmo",promocional,"reintegro,ahorro,shoppings,Brubank,MODO","El tweet anuncia una promoción con un reintegro, lo que genera un sentimiento positivo al asociarse con ahorro y beneficios económicos.",4,0,6,2000,2025-06-12 15:40:33+00:00
7,"Hasta el 15 de junio, celebrá el Día del Padre con Brubank 
Pagando con tu tarjeta de crédito accedés a:
 6 cuotas sin interés
 Hasta 20% de reintegro

En Lázaro, Macowens, Devré, Sweet, Paddle Watch y Parfumerie.
Solo con Visa crédito Brubank 

 Más info y marcas",positivo,75,90,entusiasmo,promocional,"Día del Padre,Brubank,cuotas sin interés,reintegro,tarjeta de crédito","El tweet es positivo debido a la oferta promocional para el Día del Padre con beneficios como cuotas sin interés y reintegro, generando una sensación de oportunidad y beneficio para el usuario.",4,0,5,3000,2025-06-09 15:58:18+00:00
8,"Cobrás y en 2 segundos comprás dólares
En Brubank te garantizamos el mejor precio, sin comisiones y desde la app.
100% online, los 7 días de la semana.",positivo,80,90,"entusiasmo,alegría",promocional,"dólares,Brubank,mejor precio,sin comisiones","El tweet presenta una oferta atractiva y fácil de usar para comprar dólares, generando un sentimiento positivo debido a la conveniencia y los beneficios ofrecidos.",7,0,10,3000,2025-06-03 20:17:48+00:00
9,"Tienda Brubank abrió sus puertas para que puedas comprar todo lo que necesitás ( o querés )
Conocé nuestros productos destacados con precios inmejorables.
tiendabrubank.com

Aplican términos y condiciones.",positivo,75,85,"alegría,entusiasmo",promocional,"Tienda Brubank,productos destacados,precios inmejorables","El tweet presenta una oferta positiva y atractiva, invitando a comprar con precios ventajosos, lo que genera un sentimiento positivo.",40,2,17,7000,2025-05-30 21:05:00+00:00
10,"Te presentamos Brubank Pix: La forma más fácil y rápida de pagar tus consumos en Brasil.. 
Desde la cerveza en la playa hasta el paseo en barco, ahora podés pagar directamente con tus pesos a través de la red Pix, ¡la más popular en Brasil!",positivo,85,90,"alegría,entusiasmo",promocional,"Brubank Pix,Brasil,pagar,fácil,rápida","El tweet promociona un nuevo servicio con un tono optimista y resaltando la facilidad y rapidez para pagar en Brasil, generando un sentimiento positivo.",20,1,6,6000,2025-05-30 19:04:39+00:00
11,"Este finde ahorrás en Vea
Del 23 al 25 de mayo, 25% de reintegro con tope de $10.000.
 Escaneá con la App de Brubank el QR de MODO y listo.  ¡Aprovechá viernes, sábado y domingo!  
modo.com.ar/promos/vea-may
…",positivo,75,85,"entusiasmo,alegría",promocional,"ahorrar,reintegro,aprovechá,promos,brubank",El tweet anuncia una promoción con tono positivo y busca generar entusiasmo en el usuario para que aproveche el descuento.,3,1,6,3000,2025-05-23 16:43:40+00:00
12,"¿Cobraste y empezó el finde largo? No te gastes todo 
Comprá dólares en Brubank al mejor precio, HOY mismo!
 Los 7 días de la semana,  incluso feriados.
 Sin comisiones.
 100% desde la app.",positivo,75,85,entusiasmo,promocional,"dólares,Brubank,precio,feriados","El tweet promueve la compra de dólares con Brubank, resaltando beneficios como el mejor precio y disponibilidad continua, lo que genera un sentimiento positivo.",11,2,3,2000,2025-05-01 14:37:07+00:00
13,"El 1 de mayo TAMBIÉN podés comprar dólares
Para Brubank NO HAY FERIADOS.
 Sin comisiones.
 Mejor cotización del mercado.
Caja de ahorro en dólares totalmente gratis.",positivo,85,95,"entusiasmo,alegría",promocional,"dólares,Brubank,sin comisiones,mejor cotización","El tweet tiene un tono marcadamente positivo y promocional, resaltando beneficios y ventajas de comprar dólares con Brubank.",5,0,2,2000,2025-04-30 17:22:32+00:00
