username,text,likes,retweets,replies,views,created_at,images
infobae,"“Esa mano la conozco”, la frase que marcó el reencuentro viral de dos hermanos tras cuatro años",1,0,0,56,2025-09-20T15:55:00.000Z,
infobae,"Alan Faena inauguró un nuevo hotel en Nueva York infob.ae/4nzco8i",2,0,0,761,2025-09-20T15:51:26.000Z,"https://pbs.twimg.com/media/G1TRUluXsAA2TLe?format=jpg&name=small, https://pbs.twimg.com/media/G1TRUlYXMAApHtX?format=jpg&name=small, https://pbs.twimg.com/media/G1TRUlGXYAAwexY?format=jpg&name=small, https://pbs.twimg.com/media/G1TRUlAWIAATymm?format=jpg&name=small"
infobae,Video: un camión provocó un choque en cadena con 15 vehículos y mató a un motociclista en el puente Chaco-Corrientes,1,0,0,937,2025-09-20T15:50:00.000Z,
infobae,"Stewart Wheeler, embajador de Canadá: “Vemos a Argentina como un aliado natural” | Por Mariano Roca",6,3,1,1000,2025-09-20T15:45:00.000Z,
infobae,Trump dijo que la ofensiva de Israel contra Hamas en la ciudad de Gaza “podría resultar en la liberación” de los rehenes,7,0,2,2000,2025-09-20T15:15:00.000Z,
infobae,40 fotos: Alan Faena inauguró un nuevo hotel en Nueva York,2,0,0,3000,2025-09-20T15:12:40.000Z,
infobae,"Lorca como un compañero de viaje: versos en colectivos, cartas maternas y un homenaje en Granada | Por Celeste Sawczuk",0,0,0,3000,2025-09-20T15:12:30.000Z,
infobae,“Debimos recomponer un tenebroso rompecabezas”: cuando Ernesto Sabato le entregó al presidente Raúl Alfonsín el informe de la Conadep | Por Ariana Budasoff,7,2,1,3000,2025-09-20T15:10:00.000Z,
infobae,"Cinco escándalos que marcaron la vida y la caída de María Antonieta, la reina más polémica de Francia | Por Brisa Bujakiewicz",3,0,0,3000,2025-09-20T15:08:40.000Z,
infobae,La nueva película de Dominga Sotomayor inauguró la competencia latinoamericana en San Sebastián | Por Diego Urdaneta,1,0,0,3000,2025-09-20T15:05:00.000Z,
infobae,"Roque Narvaja, un creador de hits: “No creo en la transpiración, creo en la inspiración más profunda” | Por Hugo Martin",6,1,0,3000,2025-09-20T15:02:24.000Z,
infobae,Increíble: chatbots de inteligencia artificial ya suplantan los vínculos humanos y preocupa a los expertos  | Por Santiago Neira,0,0,0,3000,2025-09-20T15:00:00.000Z,
infobae,"Con un equipo alternativo pensando en la Libertadores, River Plate buscará recuperar la cima ante Atlético Tucumán: hora, TV y formaciones",2,0,0,3000,2025-09-20T14:55:00.000Z,
