username,text,likes,retweets,replies,views,followers,created_at
VisaArgentina,"Hola, muchas gracias por tu reporte. Ya canalizamos tu comentario con el área correspondiente. Te informamos que Visa no realiza este tipo de llamadas. Nuestra comunicación se maneja a través de los bancos emisores de las tarjetas o a través de nuestros canales oficiales. (1/2)",7,5,94,28000,21600,2023-12-27T18:22:25.000Z
VisaArgentina,"Podés consultar nuestros consejos de seguridad en el siguiente link: 
vi.sa/3TGt3v1 
Saludos. (2/2)",4,0,37,27000,21600,2023-12-27T18:23:20.000Z
VisaArgentina,"Hola, muchas gracias por tu reporte. Ya canalizamos tu comentario con el área correspondiente. Te informamos que Visa no realiza este tipo de llamadas. Nuestra comunicación se maneja a través de los bancos emisores de las tarjetas o a través de nuestros canales oficiales.",10,2,84,0,21600,2022-11-04T12:03:24.000Z
VisaArgentina,"Podés consultar nuestros consejos de seguridad en el siguiente link: 
vi.sa/3G1ISpt
Saludos.",5,3,41,0,21600,2022-11-04T12:03:59.000Z
VisaArgentina,"Hola, muchas gracias por tu reporte. Ya canalizamos tu comentario con el área correspondiente. Te informamos que Visa no realiza este tipo de llamadas. Nuestra comunicación se maneja a través de los bancos emisores de las tarjetas o a través de nuestros canales oficiales.",2,0,13,0,21600,2022-11-03T17:34:51.000Z
VisaArgentina,"Podés consultar nuestros consejos de seguridad en el siguiente link: 
vi.sa/3zJWDFg
Saludos.",1,0,9,0,21600,2022-11-03T17:35:20.000Z
VisaArgentina,"Hola, muchas gracias por tu reporte. Ya canalizamos tu comentario con el área correspondiente. Te informamos que Visa no envía este tipo de mensajes. Nuestra comunicación se maneja a través de los bancos emisores de las tarjetas o a través de nuestros canales oficiales.",2,0,12,0,21600,2022-10-28T16:59:04.000Z
VisaArgentina,"Podés consultar nuestros consejos de seguridad en el siguiente link: 
vi.sa/3Wb8PIx
Saludos.",1,0,11,0,21600,2022-10-28T16:59:35.000Z
VisaArgentina,"Podés consultar nuestros consejos de seguridad en el siguiente link: 
vi.sa/3Rxl8eS
Saludos.",1,0,0,0,21600,2022-10-03T12:14:25.000Z
VisaArgentina,"Hola, muchas gracias por tu reporte. Ya canalizamos tu comentario con el área correspondiente. Te informamos que Visa no realiza este tipo de llamadas. Nuestra comunicación se maneja a través de los bancos emisores de las tarjetas o a través de nuestros canales oficiales.",1,0,2,0,21600,2022-09-28T13:53:40.000Z
