fecha,hora,timestamp,posicion,nombre_trend,volumen,volumen_numerico
01-04-2021,10:00,01-04-2021|10:00,1,#스키즈_왕좌의_승전가,613.383 tweet,613383.0
01-04-2021,10:00,01-04-2021|10:00,10,felix,294.837 tweet,294837.0
01-04-2021,10:00,01-04-2021|10:00,2,STRAY KINGS HAVE ARRIVED,593.165 tweet,593165.0
01-04-2021,10:00,01-04-2021|10:00,3,#StrayKids_FirstConquer,537.612 tweet,537612.0
01-04-2021,10:00,01-04-2021|10:00,4,#HabraConsecuencias,,
01-04-2021,10:00,01-04-2021|10:00,5,#BuenJueves,,
01-04-2021,10:00,01-04-2021|10:00,6,Saborido,,
01-04-2021,10:00,01-04-2021|10:00,7,#더보이즈_킹덤우승_가보자고,137.217 tweet,137217.0
01-04-2021,10:00,01-04-2021|10:00,8,WELCOME TO OUR KINGDOM,198.135 tweet,198135.0
01-04-2021,10:00,01-04-2021|10:00,9,8 MAKES 1 KING,155.758 tweet,155758.0
01-04-2021,14:00,01-04-2021|14:00,1,#FilmOutbyBTS,1.567.057 tweet,1567057.0
01-04-2021,14:00,01-04-2021|14:00,10,Callao,,
01-04-2021,14:00,01-04-2021|14:00,2,#ProudOfComposerJK,174.626 tweet,174626.0
01-04-2021,14:00,01-04-2021|14:00,3,#BuenJueves,,
01-04-2021,14:00,01-04-2021|14:00,4,#HabraConsecuencias,,
01-04-2021,14:00,01-04-2021|14:00,5,#스키즈_왕좌의_승전가,657.561 tweet,657561.0
01-04-2021,14:00,01-04-2021|14:00,6,STRAY KINGS HAVE ARRIVED,622.092 tweet,622092.0
01-04-2021,14:00,01-04-2021|14:00,7,Saborido,,
01-04-2021,14:00,01-04-2021|14:00,8,UN MES DE MICA EN SHOW ATTACK,,
01-04-2021,14:00,01-04-2021|14:00,9,Campuzano,,
01-04-2021,20:00,01-04-2021|20:00,1,#FilmOutbyBTS,1.909.966 tweet,1909966.0
01-04-2021,20:00,01-04-2021|20:00,10,REQUEST,638.999 tweet,638999.0
01-04-2021,20:00,01-04-2021|20:00,2,#Top50LouisTomlinson,328.339 tweet,328339.0
01-04-2021,20:00,01-04-2021|20:00,3,BUY GOLDEN ON ITUNES,50.912 tweet,50912.0
