username,text,likes,retweets,replies,views,created_at,company,content_cluster
BalanzCapital," Lanzamos Balanz Global Equity, el primer fondo de acciones internacionales aprobado por la 
@CNVArgentina
  (RG 1030), que permite a inversores calificados acceder a una cartera diversificada de acciones líderes y ETFs globales.",26,5,1,3000,2025-09-19T20:08:28.000Z,balanz,3
BalanzCapital,"La presentación se realizó en nuestra Sala de Arte junto a autoridades de 
@CNVArgentina
  y 
@CAFCIFondos
 . En Balanz seguimos impulsando alternativas que combinan innovación, diversificación y visión global. 
#BalanzGlobalEquity",7,0,0,1000,2025-09-19T20:09:02.000Z,balanz,0
BalanzCapital,"Estamos en vivo  Juan Manuel Gettas, Investment Strategist en Balanz, analiza en diálogo con Pablo Wende las novedades en torno a la reunión de la FED  y su impacto en los mercados. Miralo ahora acá ",2,0,0,2000,2025-09-19T14:45:42.000Z,balanz,4
BalanzCapital," La Reserva Federal recortó su tasa en 25pbs hacia 4.0-4.25%, en línea con lo esperado.

La decisión no fue unánime: Stephen Miran, designado recientemente por Trump, votó por un recorte de 50pbs.

 En el comunicado:
Se destacó un mayor deterioro del mercado laboral: menor",9,0,0,3000,2025-09-17T18:36:39.000Z,balanz,0
BalanzCapital," Reacción del mercado: cadena nacional + expectativa de la Fed

En este nuevo episodio del Balanz Investment Insight analizamos el comportamiento del mercado local tras las elecciones en PBA y el impacto de la cadena nacional del lunes 15.
En el plano internacional, toda la",5,0,0,2000,2025-09-16T14:51:09.000Z,balanz,4
BalanzCapital," Nuevo episodio de Balanz Investment Insights

 Mercados en foco: Mercado Argentino pre electoral y resultados de balances de USA

En este episodio:
 Los resultados de la última licitación del Mecon y las emisiones corporativas.
 Análisis del mercado argentino en la",3,0,0,1000,2025-09-02T16:43:51.000Z,balanz,4
BalanzCapital,"Obligaciones Negociables  Plaza Logística S.R.L. 

Ya podés participar en esta licitación  
balanz.in/3JZfCTX",1,0,0,1000,2025-09-01T14:53:56.000Z,balanz,3
BalanzCapital," ¿Qué hacer con tus ahorros en el corto plazo?⁣
No dejes que pierdan valor: invertí hoy en alternativas simples y seguras, con liquidez en 24 hs.⁣
⁣
 Opciones en Pesos y Dólares⁣
 Diseñadas para perfiles conservadores⁣
 Horizonte de inversión de corto plazo",0,0,0,1000,2025-09-01T13:30:00.000Z,balanz,3
BalanzCapital,"Feriado en Estados Unidos  ¿Qué tener en cuenta?⁣⁣

Lunes 1 de septiembre

Mercados internacionales: no habrá operatoria
Mercados locales: operarán con normalidad, sin embargo, no habrá liquidación de operaciones en dólar cable.",5,0,0,1000,2025-08-28T19:36:22.000Z,balanz,3
BalanzCapital,"Nueva Licitación en Obligaciones Negociables ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣
Plaza Logística S.R.L. es la empresa líder en el desarrollo y operación de parques logísticos triple A en Argentina, reconocida por su innovación y altos estándares internacionales de calidad, seguridad y",2,1,0,3000,2025-08-28T19:27:44.000Z,balanz,4
