Id,Username,Text,Created At,Retweets,Likes,Quote_count,Reply_count,View_count
1933959917620097437,Lemon Argentina,"Hay 4 millones de pesos en BTC esperando. 

El ranking sigue moviéndose. Todavía estás a tiempo de referir, sumar y pelear el primer lugar.

📍 Pasale tu $lemontag a tus amigos que todavía no tienen Lemon.",Sat Jun 14 18:49:10 +0000 2025,0,10,0,1,2977
1933696713212244268,Lemon Argentina,"¿Festejás el Día del Padre? 🎁

Si vas a comprar el regalo, organizar el asado o invitar un café, prestá atención:

👉 Pagando con tu Lemon Card este finde podés ganarte el 100% de cashback en la compra más alta. Te puede salir GRATIS ✅ https://t.co/1b0yeSGdqp",Sat Jun 14 01:23:17 +0000 2025,0,12,1,1,5172
1933547126358757616,Lemon Argentina,El sistema se actualiza 🤳🔜 https://t.co/A9wznn194z,Fri Jun 13 15:28:53 +0000 2025,1,26,1,7,2701
1933346828549775744,Lemon Argentina,"Por si se preguntaban cuánto falta para el próximo halving de Bitcoin, venimos así 👇🏻

▓▓▓▓▓░░░░░░░░░░░░░░░░ 29%

Bloque actual: 901.009
Bloque del halving: 1.050.000
Bloques restantes: 148.991
Fecha estimada: 12 de abril de 2028",Fri Jun 13 02:12:58 +0000 2025,1,27,0,2,2522
1933243907950710937,Lemon Argentina,"¿Cómo es posible ver tasas del 15%, 20% o más en DeFi?

Te contamos de dónde sale realmente el rendimiento de tus crypto.

🧵👇 https://t.co/PsjskQnRdY",Thu Jun 12 19:24:00 +0000 2025,0,14,2,3,8416
1933167083615133965,Lemon Argentina,"GM ☕️

No tienen café, pero estas tasas también te despiertan. https://t.co/WS9v8Pi1m9",Thu Jun 12 14:18:43 +0000 2025,3,90,2,9,7419
1932998180666274279,Lemon Argentina,"Este mes salieron tantas cosas que no puedo dormir, encima todavía faltan.

🥳 Festejamos los 4 millones con premios para ganar Bitcoin con cada amigo que inviten
📈 Nuevo Earn para que sus crypto rindan más
🇨🇴 Primera versión en Colombia
🔜 Más cosas muy pedidas

¿Preguntas?",Thu Jun 12 03:07:34 +0000 2025,2,31,0,7,3328
1932857513113714956,Lemon Argentina,"Sabemos que los QR existen. Todos los usan para pagar.
Pero se podrían mejorar, ¿no? https://t.co/gCoQRLTlvw",Wed Jun 11 17:48:36 +0000 2025,12,209,8,36,34747
1932518805994959090,Lemon Argentina,"Te contamos sobre una de las últimas opciones que sumamos a Lemon Earn:

👉 @MorphoLabs

Uno de los protocolos DeFi más avanzados, con una tasa incentivada actualmente mayor al 10% anual en USDC y USDT, que podés activar desde la app 🚀

Aprendé más en este hilo 👇🧵 https://t.co/sLaDjbxUWZ",Tue Jun 10 19:22:42 +0000 2025,2,19,1,4,5951
1932438752661815651,Lemon Argentina,"¿Todavía no viste las novedades de Lemon Earn? Acá te explicamos todo en un video.

Si tenés alguna duda, dejala en los comentarios y te respondemos 😉 https://t.co/5tjpgbAN0X",Tue Jun 10 14:04:36 +0000 2025,1,8,0,2,2165
1932156127707603227,Lemon Argentina,"Lanzamos una nueva versión de Lemon Earn para que tus crypto rindan más.

📈 Mejores tasas, nuevos protocolos
💸 Rendimientos diarios
📥 Elegí cuánto invertir
🕊️ Tus fondos disponibles las 24 horas

Más tasas, más protocolos, más libertad. https://t.co/HumZUpBVki",Mon Jun 09 19:21:33 +0000 2025,7,82,7,15,42050
1931814692508295680,Lemon Argentina,"Interrumpo su programación de domingo, para informarles que Bitcoin se encuentra arriba de los 106 mil dólares.

Por si alguno se lo preguntaba, seguimos. https://t.co/sjHmi7tIah",Sun Jun 08 20:44:48 +0000 2025,1,32,1,3,4214
1931434855033630919,Lemon Argentina,Ojo con olvidarse de poner el $lemontag del amigo que te refirió que se viene el Día del Amigo 👀 https://t.co/1n3hrnlgYx,Sat Jun 07 19:35:28 +0000 2025,1,11,0,2,2675
1931012389354250624,Lemon Argentina,"Formas de sumar Bitcoin en BIG 2025:

✅ Comprando desde $100 en la app
✅ Usando la Lemon Card y llevarte el cashback
🆕 Invitando amigos y ganando Bitcoin cada vez que dejan tu $lemontag

Si sos el que más refiere 👉 te llevás 4 palos en BTC.",Fri Jun 06 15:36:44 +0000 2025,0,14,0,1,2271
1930637819229180108,Lemon Argentina,"Invitá amigos, ganen Bitcoin y participá por 4.000.000 pesos en $BTC 🏆

Más de 4 millones de personas en América Latina ya tienen Lemon, pero vamos por más: queremos que TODO el mundo tenga Bitcoin. https://t.co/lET7prmS6Y",Thu Jun 05 14:48:20 +0000 2025,13,73,14,9,41570
1930626285706825942,Lemon Argentina,"Bueno. Actualicen la app 📲

Ahora les cuento 😏",Thu Jun 05 14:02:30 +0000 2025,2,26,0,11,5162
1930603080787120243,Lemon Argentina,"GM 🧉

Les tengo una sorpresa para ustedes.",Thu Jun 05 12:30:17 +0000 2025,3,85,2,23,10879
1929973167516233960,Lemon Argentina,"Yo quiero tener un millón de amigos
Y así más fuerte poder cantar
Yo quiero tener un millón de amigos
Y así más fuerte poder cantar",Tue Jun 03 18:47:14 +0000 2025,2,36,1,19,4574
1929353804190769323,Lemon Argentina,"Útil, fachero y necesario. https://t.co/y2pSlvmPlI",Mon Jun 02 01:46:07 +0000 2025,1,88,1,30,14385
