Id,Username,Text,Created At,Retweets,Likes,Quote_count,Reply_count,View_count
1829262754689245188,Naranja X,"¿Te viene bien 1 millón de pesos? Pagá tu resumen desde la app con dinero en cuenta y participá del sorteo, 20 personas van a ganar 1 millón de pesos. De nada 💸🤑 https://t.co/7Gjspaeq3L",Thu Aug 29 21:00:01 +0000 2024,3,5,0,13,3358
1829224550644752727,Naranja X,Que el encuentro entre Lali y Peter no te haga perder el objetivo: hasta el 1ero de septiembre te damos $125.000 de regalo en paquetes internacionales con el cupón TRAVELSALENX 💋,Thu Aug 29 18:28:12 +0000 2024,2,9,1,1,3337
1829184056510296134,Naranja X,"Gime Accardi en el #CrisMorenaDay: NO HAY TAL CRISIS

Yo buscando lavarropas: https://t.co/sxY6kHtY1U",Thu Aug 29 15:47:18 +0000 2024,0,5,0,1,2931
1828907093010628958,Naranja X,🛒 ¿Te dejaste influenciar por moda y compraste algo para encajar? Huele a efecto Bandwagon 📈 Descubrí este fenómeno que afecta tus decisiones financieras en #HablemosDePlata https://t.co/fVqLy4CSdk https://t.co/NHxDO46nTX,Wed Aug 28 21:26:45 +0000 2024,0,3,0,1,2180
1828897064169676931,Naranja X,HOY ÚLTIMO DÍA CON 18 CUOTAS CERO INTERÉS. Después no digan que no avisamos. https://t.co/RNqASqmgUA,Wed Aug 28 20:46:54 +0000 2024,0,5,0,2,2187
1828804156985123156,Naranja X,Ardidas nuestras promos en Adidas. Atentis 🐓🐓🐓,Wed Aug 28 14:37:43 +0000 2024,0,17,0,5,4217
1828795564517118114,Naranja X,"1. Sacar un pasaje al Sur con amigos en 18 cuotas CERO INTERÉS
2. Sacar un pasaje al Sur con amigos en 18 cuotas
3. Sacar un pasaje al Sur con amigos
4. Sacar un pasaje al Sur
5. Sacar un pasaje

Todo gracias al TRAVEL SALE 🔥 https://t.co/UpYvtC7F4w",Wed Aug 28 14:03:34 +0000 2024,0,9,0,2,2933
1828488580131590441,Naranja X,"El que dice que no conviene pagar el combustible en 3 cuotas cero interés, es porque no leyó nuestra nota. https://t.co/y1eeuSeTtE https://t.co/kxEuhqY124",Tue Aug 27 17:43:43 +0000 2024,0,80,0,3,107693
1828438936991019219,Naranja X,Este #GerChivo es mejor que la vuelta de Oasis.,Tue Aug 27 14:26:27 +0000 2024,0,10,0,2,2427
1828174447452295677,Naranja X,❄️ 12° de sensación térmica en Córdoba y Capital Federal. Si se quieren entusiasmar... ¡empezó el Travel Sale! https://t.co/UpYvtC77eY https://t.co/q57Y6mMYgJ,Mon Aug 26 20:55:28 +0000 2024,1,9,0,3,1948
1828114133352403439,Naranja X,Uno se ríe pero es verdad. https://t.co/QTO0xDHkEu,Mon Aug 26 16:55:48 +0000 2024,11,156,1,0,44910
1828072825917206799,Naranja X,"Si me ven sacando un pasaje en 18 cuotas cero interés no soy yo, es mi holograma.",Mon Aug 26 14:11:40 +0000 2024,3,13,0,4,2157
1826736470440222849,Naranja X,¡Dejá de pedirle la respuesta a tus compañeros! 🤣En #HablemosDePlata te lo dejamos bien claro este concepto fundamental y sin vueltas para que no te lleves deudas a marzo 🤓💯  https://t.co/GTed0sfL1a https://t.co/u8RS50XEar,Thu Aug 22 21:41:28 +0000 2024,0,6,0,4,2628
1826673391329575129,Naranja X,Casi https://t.co/WBDo15Avlw,Thu Aug 22 17:30:49 +0000 2024,0,24,0,2,3444
1826311525017297006,Naranja X,"🚨 Promo exclusiva para el AMBA

50% pagando con QR
→ Con dinero en cuenta
→ Con un tope de reintegro

Tenemos más datita interesante, acá: https://t.co/y1eeuSeTtE 🫰",Wed Aug 21 17:32:53 +0000 2024,0,7,0,4,17496
1826275451456929894,Naranja X,Pasa en los mejores supermercados. https://t.co/8LCC0KEFJB,Wed Aug 21 15:09:32 +0000 2024,0,20,0,2,63702
1825884695889875200,Naranja X,"Tenemos dos buenas noticias:

1. Nuestro nuevo tope de remuneración es de $600.000

2. Seguimos con la tasa más alta del mercado: 42%

Eso nomás, buena semana. https://t.co/d180fCfcXq",Tue Aug 20 13:16:49 +0000 2024,12,430,3,73,330133
1825632443078160538,Naranja X,"¿Gana @SanLorenzo o @CATalleresdecba? ¡Hagan sus apuestas en los comentarios! ¿El premio? 1 par de entradas, siempre 🔥⚽

Sorteamos el 22/08.
👉 No incluye ni traslados, ni viáticos. Las entradas se entregan en una dirección en la Ciudad Autónoma de Buenos Aires (CABA). https://t.co/4ITXO2uP3n",Mon Aug 19 20:34:27 +0000 2024,4,69,2,55,2607542
1825625425579749447,Naranja X,"Además subimos el tope de remuneración a $600.000, el verdadero BOMBAZO 😎🫰",Mon Aug 19 20:06:34 +0000 2024,2,27,0,7,5530
1825553847345164570,Naranja X,"Bueno, dale. A partir de ahora el tope de remuneración es de $600.000 🫡",Mon Aug 19 15:22:09 +0000 2024,7,142,3,25,30638
1823826221261840597,Naranja X,Nosotros: dale reyna regalale un viaje a Mendoza en 6 cuotas cero interés que se lo RE merece!!! 😀😀😀,Wed Aug 14 20:57:10 +0000 2024,1,5,0,3,2715
1823804460239663399,Naranja X,"EPA, y este #GerCHIVO?",Wed Aug 14 19:30:42 +0000 2024,0,6,0,3,2565
1823784652877811822,Naranja X,¿Cómo? Aprovechando nuestras promos: https://t.co/mE0fDbFUPN https://t.co/F7Sw4ZdgeX,Wed Aug 14 18:12:00 +0000 2024,1,44,1,3,104439
1823756624043106695,Naranja X,🫦,Wed Aug 14 16:20:37 +0000 2024,1,15,0,5,2540
1823463417677598816,Naranja X,Hablar de plata en la primera cita: ¿VOT SI o VOT NO? 💬💸 https://t.co/EIdr27UN8N,Tue Aug 13 20:55:31 +0000 2024,13,164,0,5,124335
1823442329287709132,Naranja X,"El chabón: tenés 20% OFF con Naranja X, digo... pa' que no te mandes McAnas.",Tue Aug 13 19:31:43 +0000 2024,0,7,0,2,2322
1823409416005410873,Naranja X,https://t.co/m0IKDjMHev,Tue Aug 13 17:20:56 +0000 2024,1,21,1,3,4417
1823372024292475120,Naranja X,"Si sos de los que NUNCA se ganaron el millón, la vida te está dando una segunda oportunidad: descargate la app y preparate para jugar con nuestra trivia futbolera. https://t.co/wZwzAZLA7p",Tue Aug 13 14:52:21 +0000 2024,1,35,1,14,80723
1823091710043308329,Naranja X,¿Cómo venís de conocimientos futboleros?,Mon Aug 12 20:18:29 +0000 2024,16,866,6,29,2311677
1823055424234344473,Naranja X,"Más argento que:

- El Atleti
- Comprar un viaje en 14 cuotas cero interés",Mon Aug 12 17:54:18 +0000 2024,0,40,0,2,80186
1822006184099922090,Naranja X,Imaginate estar hablando mal de mi y que yo sea este michi ganando la trivia futbolera: https://t.co/AVbecBnZho,Fri Aug 09 20:25:00 +0000 2024,5,170,0,10,109356
1821952932813705511,Naranja X,"¡Último fin de semana para que puedas llevarte este paquete! 

🍔 🍟🥤
20% OFF en comida rápida: McDonalds, Burger King, Mostaza, KFC, Wendy’s.",Fri Aug 09 16:53:24 +0000 2024,1,2,0,3,2450
1821907568249163799,Naranja X,"Uff, ¿Lali estás?",Fri Aug 09 13:53:08 +0000 2024,3,20,2,1,3214
1821905967321059458,Naranja X,Y se llevó el pase de entradas para ver a @RacingClub ¡Felicitaciones! @chiro355 😉🎉,Fri Aug 09 13:46:46 +0000 2024,1,6,0,3,2210
1821659797592375572,Naranja X,"Hoy 8 del 8 a las 8 PM manifestamos una bendición.

La bendición: https://t.co/npS5YkCA9N",Thu Aug 08 21:28:35 +0000 2024,4,22,0,8,2885
1821635254417027567,Naranja X,Sabés que tu amiga va a aprovechar las 3 cuotas cero interés en super cuando la vas a buscar y se ve así. https://t.co/GoybYO098B,Thu Aug 08 19:51:03 +0000 2024,0,4,0,1,1700
1821575268626243852,Naranja X,REITERAMOS: la fecha de cierre de tu tarjeta Naranja X es el día 25 de cada mes.,Thu Aug 08 15:52:41 +0000 2024,4,38,1,14,10325
1821276886242111657,Naranja X,"No queremos pecar de competitivos, pero somos argentinos: hicimos una trivia futbolera con premios muy, pero muy buenos. https://t.co/nWmGHObh5k",Wed Aug 07 20:07:02 +0000 2024,0,7,0,6,2397
1821227510366920711,Naranja X,Daniel llegó con ganas de hacerte rendir la plata. https://t.co/d5TLReHrnl,Wed Aug 07 16:50:49 +0000 2024,2,24,1,2,83361
1820866361079349273,Naranja X,"Hay una forma de llegar lejos con el fútbol, sin la necesidad de saber jugar al fútbol.

Podés ganar 👇

💵 $1.000.000
👟 $200.000 para ropa deportiva 
⚽ Pelotas oficiales

Descargate la app y comenzá a jugar: https://t.co/H6us7o5OLN",Tue Aug 06 16:55:45 +0000 2024,2,79,0,6,943192
1835083367060013138,Naranja X,"Nosotros: Bueno, sorteamos un palo por cada palo.
Los partidos del sábado: ¿Que le peguemos 4 veces al palo, dijiste?",Sat Sep 14 22:29:03 +0000 2024,0,19,0,8,2682
1835076803016192357,Naranja X,"Todos somos Román, aprovechá y meté hasta a tu abuela.",Sat Sep 14 22:02:58 +0000 2024,0,5,0,1,2577
1835067964271251478,Naranja X,"Muchas gracias Kevin, por esta alegría. Lo que hiciste por NaranjaX no se olvida en la vida",Sat Sep 14 21:27:51 +0000 2024,0,7,0,0,1798
1835063572189290557,Naranja X,"PALO X PALO PANDOLFO

LAS CALLES NO OLVIDAN

En el minuto 35 del primer tiempo el visitante tiró directo al travesaño. Tenes 30 minutos para participar en https://t.co/J0KrBqbiJK https://t.co/tceJqlQbjr",Sat Sep 14 21:10:24 +0000 2024,0,7,0,3,2343
1835047265548800459,Naranja X,Que manera de arrancar 😮‍💨. Encima ahora seguimos con Racing vs Boca.,Sat Sep 14 20:05:36 +0000 2024,0,4,0,0,1712
1835045718685306915,Naranja X,¡QUE LOCURA! Palo en el ultimo minuto de Velez. Entrá a participar en https://t.co/J0KrBqaKUc https://t.co/7YJrhgp3Ty,Sat Sep 14 19:59:27 +0000 2024,0,4,0,2,1878
1835043566441099448,Naranja X,PALAZO DEL FORTÍN! En el minuto 37 del segundo tiempo el visitante rozó el palo. Entrá y participá en https://t.co/ux1oV0ZOck https://t.co/EYz5LTVPEG,Sat Sep 14 19:50:54 +0000 2024,0,10,0,1,1897
1835040469778334004,Naranja X,¿Qué digo PALO? PALAZO. En el minuto 20 del segundo tiempo San Lorenzo reventó el travesaño. Entrá que podes ganarte un palo en https://t.co/J0KrBqbiJK https://t.co/N5fVglZDBy,Sat Sep 14 19:38:36 +0000 2024,0,5,0,1,1768
1835037195603939634,Naranja X,12 corners y ni un palo. Acá queremos palos!!,Sat Sep 14 19:25:35 +0000 2024,0,1,0,0,1459
1835028249585631381,Naranja X,"Qué primer tiempo, eh, de ida y vuelta. El palo está para cualquiera",Sat Sep 14 18:50:02 +0000 2024,0,4,0,1,1681
1835015659299774742,Naranja X,¿Por qué es tendencia #PALOXPALO? Porque Naranja X sortea 1 PALO 💲🤑 cada vez que la pelota pega en el palo. O sea… KEEEEEEEEEEEEEE. Entrá acá 👉🏻https://t.co/ux1oV0ZOck y conocé qué partidos entran en el sorteo y cómo participar. https://t.co/rrGrstrknA,Sat Sep 14 18:00:00 +0000 2024,2,19,0,2,10012
1834692477078389004,Naranja X,"Si alguien twittea desde nuestra cuenta haciéndose el gracioso, tengan cuidado: somos nosotros avisándoles que volvieron los SMARTES con tremendos descuentos, los días 17 y 24 👉 https://t.co/tXb9v6pK3I",Fri Sep 13 20:35:48 +0000 2024,1,12,0,5,14302
1834630217614106815,Naranja X,"Shoppings el 17 y 24 de septiembre: SMARTES

Shoppings el resto del mes: CARO https://t.co/bzng9OtXz1",Fri Sep 13 16:28:24 +0000 2024,1,41,1,4,32137
1834296790364955053,Naranja X,"La Lógica de la Seguridad. 🦂

Un disco que hable sobre el placer de no tener que entregar la tarjeta en un negocio cada vez que querés hacer una compra.

Inspiración y agradecimiento: Charly García.",Thu Sep 12 18:23:29 +0000 2024,0,6,0,4,1954
