Id,Username,Text,Created At,Retweets,Likes,Quote_count,Reply_count,View_count
1826616823909155072,belo 🌎,¡Gracias @clarincom por la nota sobre nuestra solución de pagos con Pix en Brasil! 🇧🇷,Thu Aug 22 13:46:02 +0000 2024,2,30,0,3,3274
1826373116387623303,belo 🌎,"Plantilla GRATUITA para que gestiones todo tu trabajo en UN SÓLO LUGAR 🔥

✅ 100% editable
✅ Define accionables y logra tus objetivos
✅ Gestiona tu agenda y clientes
¡Y más! Ideal para freelancers y trabajadores remotos 🚀

Descarga gratis 👇 https://t.co/tLf8SavX0Z",Wed Aug 21 21:37:37 +0000 2024,3,10,0,1,1901
1825633932039114862,belo 🌎,"ÚLTIMAS HORAS 🚨 Para aprovechar el 30% OFF en Coderhouse exclusivo para belonautas 🔥

👉 Se acumula con el 15% OFF y 12 cuotas sin interés en todas las carreras

Cómo acceder al beneficio👇",Mon Aug 19 20:40:22 +0000 2024,3,4,0,4,2530
1823829804879372791,belo 🌎,"💻 Plantilla de contrato y presupuesto para freelancers
📝 100% personalizable
+guía de cómo optimizarla al máximo 🚀

Descarga gratis 👇 https://t.co/hU5P3FSBCf",Wed Aug 14 21:11:25 +0000 2024,2,20,0,6,3543
1823460780647571682,belo 🌎,"RENOVAMOS EL 30% OFF POR TIEMPO LIMITADO EN CODERHOUSE PARA ARGENTINOS 🔥 🇦🇷

💡 Es EL momento de aprovechar porque el descuento se acumula con la promoción del 15% OFF en carreras 🚀 https://t.co/e3PQfL19EI",Tue Aug 13 20:45:03 +0000 2024,3,6,0,2,2636
1820925387666297347,belo 🌎,"El día no está para andar haciendo filas 🌧️

Pagá las facturas, la facu y la tarjeta de crédito desde la app de belo, y a otra cosa 💆👇 https://t.co/Ocm01QkCgx",Tue Aug 06 20:50:18 +0000 2024,2,7,0,2,2640
1819062346884473285,belo 🌎,"LO PIDIERON Y LLEGÓ 🔥 Ya es posible retirar saldo de PayPal a tu billetera de belo 📲

Lo único que necesitas para hacerlo es abrir tu cuenta receptora de dólares en belo, que podrás enlazar a PayPal para recibir tu dinero cuando quieras 🙌

Toooodos los detalles 👇 https://t.co/6fjgZWaqbz",Thu Aug 01 17:27:14 +0000 2024,9,64,4,9,16500
1838711510400676114,belo 🌎,¡Última semana para participar! Podés llevarte hasta 1500 USDT 😎,Tue Sep 24 22:46:00 +0000 2024,2,5,0,7,4739
1838665638522265810,belo 🌎,"¡Quedan pocos lugares! 🚨

Si todavía no te inscribiste, no cuelgues que estamos preparando sorpresas increíbles 🤩👇",Tue Sep 24 19:43:43 +0000 2024,2,4,0,3,3319
1838313990939652551,belo 🌎,"Este viernes, despedimos el #MesdelFreelancer con un EVENTO IMPERDIBLE 🎉 📅

A partir de las 18 hs, nos reunimos en Palermo, CABA 📍 para un after office exclusivo lleno de networking, premios y buena comida 🥂🥐

Cómo sumarte 👇 https://t.co/QHrRRlyF6R",Mon Sep 23 20:26:24 +0000 2024,4,13,2,1,5700
